"";"ChampionID";"Role";"games_played";"kills";"deaths";"assists";"cs_at_15_min";"cs_at_end";"gold_at_15_min";"gold_at_end"
"248";"Jayce";"top";450;2,49555555555556;2,57333333333333;3,88222222222222;110,88;250,891111111111;4616,33777777778;11660,1888888889
"249";"Jhin";"bottom";331;3,66465256797583;1,66163141993958;4,77341389728097;113,725075528701;260,480362537764;4664,28096676737;11909,2749244713
"250";"Jinx";"bottom";155;3,3741935483871;1,94193548387097;3,91612903225806;115,541935483871;264,651612903226;4828,06451612903;11809,7161290323
"251";"KSante";"mid";2;1;4,5;0,5;110;166,5;4488;6985,5
"252";"KSante";"top";497;1,90342052313883;1,93561368209256;3,68611670020121;106,494969818913;219,9476861167;4382,61167002012;10314,8571428571
"253";"Kaisa";"bottom";472;4,24576271186441;1,75423728813559;4,06567796610169;115,567796610169;269,5;4831,44915254237;12526,4152542373
"254";"Kaisa";"mid";1;8;3;4;147;413;6123;20148
"255";"Kaisa";"top";1;6;2;11;128;292;5324;15085
"256";"Kalista";"bottom";220;3,77727272727273;2,37272727272727;3,64090909090909;116,445454545455;264,290909090909;4921,05;12291,6454545455
"257";"Kalista";"top";1;0;3;1;133;217;4984;8197
"258";"Karma";"mid";24;3,04166666666667;1,95833333333333;6,58333333333333;109,625;216,041666666667;4520;10871,2083333333
"259";"Karma";"support";99;0,646464646464647;2,19191919191919;7,91919191919192;18,6666666666667;31,1717171717172;3386,0202020202;7166,50505050505
"260";"Karma";"top";8;2;3,375;3,625;112;202;4598,625;9920,5
"261";"Karthus";"jungle";16;4,0625;3,75;8,5;109,4375;236,25;5479,4375;12212,25
"262";"Kassadin";"mid";5;2,6;1,6;1,8;106;244,2;4464,2;11073,8
"263";"Katarina";"mid";2;3,5;3,5;3;103,5;199;4605;10394,5
"264";"Kayle";"mid";2;3;2;3,5;111,5;263,5;4319,5;11594,5
"265";"Kayle";"top";2;2;1;5;124,5;232,5;5226;11035,5
"266";"Kayn";"jungle";5;4;3,4;4,2;89,2;176;4575;9637,4
"267";"Kayn";"top";2;0,5;3;0,5;106,5;199,5;4464;8174,5
"268";"Kennen";"support";1;3;10;4;15;26;3897;8058
"269";"Kennen";"top";23;2,91304347826087;3,1304347826087;4,56521739130435;116,521739130435;224,95652173913;4845,08695652174;10884,3913043478
"270";"Khazix";"jungle";3;5,33333333333333;1,66666666666667;6,33333333333333;100,333333333333;213,666666666667;5090;11438,6666666667
