"";"Parameter_2";"Parameter_type";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played.x";"Games_played.y"
"471";"BLUE Samikin";"Player";"Red";"mid";-3,03052100999099;3,1362423120106;-3,40922772532764;-13,6318788390936;-8,72988557338232;-501,119710281271;-1641,29032409047;NA;5
"472";"Brand";"Champion";"Blue";"bottom";7,83049803263941;-2,4608318792299;6,82382002675415;-34,377935747369;-0,0422067414144832;-1160,46213743726;1981,7886356459;1;NA
"473";"Brand";"Champion";"Blue";"jungle";-2,15064200701975;2,31085978490124;4,62943293988649;9,58177564196632;34,3852929520805;-469,067747871803;234,876653352484;14;NA
"474";"Brand";"Champion";"Red";"bottom";-3,34507359383318;3,65169474227486;-0,921639680639958;-5,68746878597846;68,6774952011103;-419,496486716589;-220,120171184027;1;NA
"475";"Brand";"Champion";"Red";"jungle";1,21367882809945;-0,62448952617287;-1,5401617122583;3,58148901667053;7,89729223231612;176,353720176317;286,991957619076;7;NA
"476";"Braum";"Champion";"Blue";"support";-0,211878107907301;-0,578722344359945;0,646197163240307;-0,0201624653961781;0,429699677544788;99,4952702200637;148,419858807386;202;NA
"477";"Braum";"Champion";"Red";"support";-0,0438046623285965;-0,689381072321258;1,11189141760847;0,387666348626764;-0,0652068909685639;106,931676507554;247,798970906489;163;NA
"478";"BRO Bull";"Player";"Blue";"bottom";-2,88029680625646;0,00568363052645914;-1,0142016661604;-14,5338813158498;-9,84246394910157;-1197,29844876466;-1314,34528838646;NA;11
"479";"BRO Bull";"Player";"Blue";"top";-1,36561689977308;0,113544774331391;-4,13387269787166;-15,1035172089048;-5,98916797720445;374,326279751194;-2112,29382486607;NA;7
"480";"BRO Bull";"Player";"Red";"bottom";1,89995170282601;-2,06213962079867;1,83817732668945;-4,80149650774106;23,2852193300636;-204,584209012138;2162,60701010351;NA;12
"481";"BRO Bull";"Player";"Red";"top";NA;NA;NA;NA;NA;NA;NA;NA;2
"482";"BRO Clozer";"Player";"Blue";"mid";-1,11322546184734;0,892803447700035;-3,24768460718283;-2,24741942084558;-16,9905098565145;-383,158499171685;-758,569585019363;NA;14
"483";"BRO Clozer";"Player";"Red";"mid";0,957220194366569;-1,61223155754509;-3,31861342473907;17,5611772761972;22,5881931373338;342,969924046417;1203,88539097366;NA;19
"484";"BRO Croco";"Player";"Blue";"jungle";-2,60064520612153;2,80601236606344;-2,12046890087902;-4,23208103646855;-19,2862920075852;-616,84650487977;-1553,00483915688;NA;2
"485";"BRO Croco";"Player";"Red";"jungle";8,81459231973284;-4,5886033169641;-1,26671053280663;-2,57748685455088;21,4059122054576;408,527334408638;3221,81656489847;NA;1
"486";"BRO DDahyuk";"Player";"Blue";"top";-1,14714254697526;-0,261226011648296;-3,80287827427652;36,2821930750086;31,9105381244173;967,106604659977;-457,649386486432;NA;1
"487";"BRO DDahyuk";"Player";"Red";"top";-3,02285665484352;-2,23988837118647;3,27224348564423;15,6353186552676;28,0661527904137;658,074925511257;488,985687768677;NA;1
"488";"BRO Ellim";"Player";"Blue";"bottom";NA;NA;NA;NA;NA;NA;NA;NA;1
"489";"BRO Ellim";"Player";"Blue";"jungle";-0,218817285563965;1,78489329839936;-4,18017782410432;-2,41579246921046;-15,395120415327;-92,9188441681353;-895,329054944151;NA;13
"490";"BRO Ellim";"Player";"Red";"jungle";0,184042115337357;-0,44332023115711;0,214181746212307;-1,35930894840122;2,15839436864837;169,170312475432;374,458267615374;NA;13
"491";"BRO HamBak";"Player";"Blue";"jungle";-0,0374661004270382;2,69769588867546;-3,77901195458749;-11,1498344960844;-29,7974593903165;-159,318582178624;-1297,69837825017;NA;15
"492";"BRO HamBak";"Player";"Red";"jungle";0,406541503140155;-1,00430034975298;2,00170325786283;2,39053086455879;7,52185095135309;239,712713923656;536,690914442039;NA;18
"493";"BRO Hype ";"Player";"Blue";"bottom";-0,413131574316505;-1,46237740055378;1,62544963210159;-8,39078285426733;6,8330063138652;-535,040442344536;149,06458363101;NA;12
"494";"BRO Hype ";"Player";"Red";"bottom";1,38001598043028;-1,61810027133084;0,839377655041617;-2,75193263563366;26,3704661380593;115,720741241677;2288,83708717795;NA;16
"495";"BRO Kice";"Player";"Blue";"support";-0,280398094929206;3,55405226343023;-7,85893595790647;-8,11737442291961;-14,008770946151;-385,298454632412;-1369,3748170584;NA;16
"496";"BRO Kice";"Player";"Red";"support";-0,751620167675089;4,04800529028909;-4,74179658777562;-5,91557690097741;-13,4825342373776;-532,478771215253;-1356,71612438881;NA;13
"497";"BRO Levy";"Player";"Blue";"bottom";-5,09255542839687;-2,40920082564446;-8,3647429580589;-61,7762159959759;-23,3030034188665;-3315,56899121133;-3598,01266196611;NA;6
"498";"BRO Levy";"Player";"Blue";"top";-1,32761488777456;1,40192627783488;-1,63354420600483;20,6101584466308;14,923690605784;280,326129821024;-421,395153686943;NA;2
"499";"BRO Levy";"Player";"Red";"bottom";-1,35441095212311;0,888999902441725;-0,409055446899949;-17,3328328922303;-2,82895296244145;-882,408352419611;-132,728316393614;NA;4
"500";"BRO Lonely";"Player";"Blue";"top";-2,13820992118493;2,38080606665785;-6,15778592197062;4,57867910997125;-14,5367991428883;-220,977172331252;-2158,61653335834;NA;6
"501";"BRO Lonely";"Player";"Red";"top";-0,927044881675986;-1,26565905870399;0,315444307921913;6,04801047053503;5,78496030810933;-137,635902709143;914,06034669614;NA;10
"502";"BRO Morgan";"Player";"Blue";"top";-0,425443679037207;-0,693500245548467;-0,917907057389535;28,8949755728924;37,604079880552;617,224824928955;758,889065791133;NA;14
"503";"BRO Morgan";"Player";"Red";"top";0,140168698948847;-2,46126251614228;1,19592269266369;15,2083984759939;34,6155625739871;547,654969534921;1898,24606448754;NA;19
"504";"BRO Pollu";"Player";"Blue";"support";-0,639458093024318;1,51210752195402;-1,89642988641607;-7,98706057529243;-15,9144144371044;-308,820847217191;-803,521504513915;NA;14
"505";"BRO Pollu";"Player";"Red";"support";-0,0308889069088851;2,18624232831774;-0,746360102577624;-6,47756118035651;-15,398677175017;-296,605871884999;-498,947626404949;NA;19
"506";"BRO Starlit";"Player";"Blue";"mid";-2,75871541237883;1,59671743353744;-3,88461069057786;-6,74439474425398;-29,9785329840636;-566,874500783729;-1283,67667017781;NA;16
"507";"BRO Starlit";"Player";"Red";"mid";0,974980172054074;-0,202807372611316;-4,87771228732245;1,99980910470265;0,671508093594606;-182,281748484115;1095,65342145977;NA;13
"508";"BRT Addusto";"Player";"Blue";"top";-4,11513452400523;1,84128768654064;-1,26588325852248;23,7265301544868;-15,7535846712677;-702,779432396609;-3586,67503349639;NA;7
"509";"BRT Addusto";"Player";"Red";"top";-2,37735587987537;1,13817820284738;2,79907280637975;3,45354810520636;-26,6172896339183;-1232,11976614695;-2857,39168685535;NA;6
"510";"BRT D1verse";"Player";"Blue";"mid";-0,53500724608711;-2,94513081584659;9,15881726472379;-23,671911666379;-10,3540973027565;98,9436671445941;-2513,09623734003;NA;3
"511";"BRT Esko";"Player";"Blue";"bottom";7,44660259716126;-2,37276822155655;2,91036276315768;-5,27248275334237;5,64728158171099;1,40035801683006;1943,44075161476;NA;7
"512";"BRT Esko";"Player";"Red";"bottom";11,9988528937616;-4,15090427669332;6,9748498921457;6,71232074519842;29,0946082410365;1070,32734434056;4872,7743087444;NA;6
"513";"BRT Fallen";"Player";"Blue";"jungle";5,06670871022922;0,98287706137924;9,61351360792754;-35,7404384263125;-43,1358864281946;-1038,72109757236;222,678351758978;NA;7
"514";"BRT Fallen";"Player";"Red";"jungle";6,49718256813316;-4,00559176626272;16,310256794397;-17,2451799946802;32,4010606892851;-525,48331581848;3206,27112150504;NA;6
"515";"BRT Mita";"Player";"Blue";"support";3,98436271090236;-11,947768485261;31,4033437882286;3,48888254562618;-0,0540635106371334;1290,29015017624;3744,57589497468;NA;7
"516";"BRT Mita";"Player";"Red";"support";5,17295296368207;-12,8456875636621;36,1124312904109;4,19727727850476;3,4905469710221;1529,45144322657;4149,0378222014;NA;6
"517";"BRT Tibor";"Player";"Blue";"mid";4,73252171692588;-4,93550582289189;11,4243139198409;-2,13442538574778;9,22739033903458;1577,68626514653;862,024103585202;NA;4
"518";"BRT Tibor";"Player";"Red";"mid";7,26506232543853;-7,20089855762737;8,72410718132199;3,20362673499984;20,2116452620994;1430,61216190919;236,782901815189;NA;6
"519";"BVL Fake1";"Player";"Blue";"support";2,1953212696103;0,948331700554677;-1,00856188538313;2,43195649845954;-2,52578113597717;782,404632128134;365,683692502667;NA;1
"520";"BVL Fake1";"Player";"Red";"support";0,518039368663445;3,40454255482308;-1,54608075494529;-0,623022158797775;-3,75469234104446;-232,309655232233;-670,728332357085;NA;3
"521";"BVL Fantasyleaf";"Player";"Blue";"top";-0,238844521905311;1,04046758327656;-4,78160283897776;4,1278228283503;18,8659671384039;601,064714946646;-2304,87469955274;NA;3
"522";"BVL Fantasyleaf";"Player";"Red";"top";1,90648107006281;3,52516940379693;-7,86555414727895;4,06059641040693;-6,83763701129647;-1044,21338470088;-2164,74838460625;NA;1
"523";"BVL Fubuki";"Player";"Blue";"jungle";-4,01102257476076;3,68885144673106;-4,09341108440471;5,56767142986294;-18,8239457416329;-4,26891935591164;-3456,6977126003;NA;6
"524";"BVL Fubuki";"Player";"Red";"jungle";-5,67532632698837;3,93954418564669;-6,16340085748232;2,9373946196265;-29,3635976022068;335,820990849102;-3939,62553343298;NA;5
"525";"BVL GOODTRY";"Player";"Blue";"support";1,25360782373743;1,29217225432655;-8,60863057151597;-8,52660250055508;-12,5932218490528;379,214225577754;-1223,94991682527;NA;3
"526";"BVL GOODTRY";"Player";"Red";"support";-3,18743972908884;7,63641311709646;-0,170411007679924;-13,345859297666;-29,7454234256755;-35,3546181400234;-2460,26909325284;NA;1
"527";"BVL MayR";"Player";"Blue";"bottom";4,78309138256216;0,217608351505435;-8,97021651302327;-6,80323255797114;-26,113531863197;844,82475714669;-1179,65291278975;NA;6
"528";"BVL MayR";"Player";"Red";"bottom";1,56443138656512;1,23090629171347;-8,9228966336633;0,0121836913694118;-17,6988403276776;189,119513447562;-1292,8324193189;NA;5
"529";"BVL Snow Panda";"Player";"Blue";"support";-3,15960285867301;2,58652361912786;3,60546350690692;-0,329462736531301;3,3821205489172;-502,435744936466;-1450,69745146883;NA;2
"530";"BVL Snow Panda";"Player";"Red";"support";-1,96426230462614;5,72962621767977;-17,0142655443651;-4,32807494180441;-12,6880521184564;-620,076711003517;-2550,62301584385;NA;1
"531";"BVL udon";"Player";"Blue";"top";-1,2709225655316;-0,858690443744029;-4,06693389777429;7,80993466017688;-2,30163168094432;531,389480890628;-2444,61922858874;NA;3
"532";"BVL udon";"Player";"Red";"top";-0,348188162984599;-0,338295315213565;-3,52490899696298;-14,1244623445966;4,22677704177563;-644,690825803561;-913,173434834252;NA;4
"533";"BVL uwaa";"Player";"Blue";"mid";-9,82295440671247;2,76604335447362;6,14340624972129;-61,0609603834196;-73,2759237742984;-2267,06785564616;-7169,49613452035;NA;3
"534";"BVL uwaa";"Player";"Red";"mid";-11,0400599365312;7,48405694498235;-1,39037648063393;-39,6584798608943;-2,51392003150085;-1516,13825085423;-5153,90975662284;NA;1
"535";"BVL uwaaaa";"Player";"Blue";"mid";6,91753575685516;-0,256114059385415;2,66201942391299;-29,0480998748019;-39,2293003055055;-152,539541833716;855,127219674986;NA;3
"536";"BVL uwaaaa";"Player";"Red";"mid";6,0472641140339;-1,80580051013744;-0,594547494770038;-12,0689075697653;-21,7372488641443;378,088781526033;218,513330697362;NA;4
"537";"BW Bong";"Player";"Blue";"top";4,75760239747277;-3,52597105724307;5,93758537884302;6,18685333770624;27,3548561979499;865,292639697098;2241,41150216954;NA;8
"538";"BW Bong";"Player";"Red";"top";5,69271971059864;-2,26043414538031;2,75615386600809;4,95914938218634;20,6895847063081;898,702400181862;3667,70810959367;NA;2
"539";"BW Citrus";"Player";"Blue";"jungle";5,35263219722387;-2,28629359776299;10,9174220542898;-0,364876229294677;6,26354701406933;-252,72102052703;2423,98755229286;NA;4
"540";"BW Citrus";"Player";"Red";"jungle";7,73959161358209;-5,38236142629023;16,5497497292892;-1,63922313742268;28,0474738796923;-153,247433419548;4767,93812333549;NA;6
"541";"BW Destroy";"Player";"Blue";"top";4,549042936728;-2,45760328249519;4,4042609028673;25,3259337227107;46,4465216951952;1458,41299465452;2454,75901432763;NA;6
"542";"BW Destroy";"Player";"Red";"top";4,68656933785822;-3,70840565129978;8,92583132292858;12,5120484084025;37,229594334426;734,52745103671;3422,47541815846;NA;9
"543";"BW KIREAS";"Player";"Blue";"jungle";7,21547654498556;-3,1558049788565;16,8102792378421;3,49321112580455;20,8079530511283;159,540124219722;4096,77108462904;NA;2
"544";"BW KIREAS";"Player";"Red";"jungle";8,55025592719773;-8,06194688535368;20,3381338647016;-0,617079095838878;22,5593823700031;205,147368810189;5287,06819424688;NA;3
"545";"BW Mercy9";"Player";"Blue";"mid";4,63938291089521;-6,71944652685155;15,2125744483884;-5,19425900661496;-17,2237978523833;1576,79213070385;435,315876723612;NA;10
"546";"BW Mercy9";"Player";"Red";"mid";9,30997350015264;-10,1595180326513;15,3260518635806;-0,0982016203249866;40,2261079279223;1726,62524003715;3584,89323423666;NA;9
"547";"BW monkaS";"Player";"Blue";"support";3,62298109606294;-15,3148634866577;42,4250749165353;-2,61734049876129;1,35749801889322;1288,93763288329;5752,33189779659;NA;14
"548";"BW monkaS";"Player";"Red";"support";3,81510085863728;-14,8378612308238;42,7979093519968;-0,452336404276822;4,739849035493;1373,30507154704;6116,36625355632;NA;10
"549";"BW noname";"Player";"Blue";"jungle";8,01337929119318;-5,81810167592369;19,9312576222613;-1,11949939899492;25,1569929870714;-184,275142996721;4779,59113026667;NA;8
"550";"BW noname";"Player";"Red";"jungle";8,1914499148661;-5,78765847984182;10,7368721984201;0,0875049696176265;4,39120029717254;-450,374313188298;4766,13543237774;NA;2
"551";"BW Pbd";"Player";"Red";"support";4,21404363922654;-13,858842314318;32,6733996177676;-11,4253126693439;2,96255474895164;945,156553252829;4555,84119002994;NA;1
"552";"BW Ronaldo";"Player";"Blue";"mid";5,422511145718;-6,96610243524595;17,6884744197256;-20,1742556194411;-29,5585829870326;1432,91687696727;499,461277991711;NA;4
"553";"BW Ronaldo";"Player";"Red";"mid";6,40166435238977;-7,77170081008332;7,89434330888662;6,62951373615688;11,8033667751434;2015,19340216075;2445,72088758492;NA;2
"554";"BW Scorth";"Player";"Blue";"bottom";12,7616312806935;-3,23987734093111;2,14282630377859;-31,5786845814741;35,074261368713;-512,934472940311;5027,75550156661;NA;14
"555";"BW Scorth";"Player";"Red";"bottom";12,795464566621;-3,22514569570464;3,26703175511774;-19,9730894179514;59,7263159609475;111,063775684309;6693,45013962965;NA;11
"556";"BWE DarkBlue";"Player";"Blue";"mid";-4,27080369786213;3,26345337879638;-0,511781473239462;-6,32697190838334;-8,79487788077697;-505,98294825766;-3928,78734224853;NA;1
"557";"BWE DarkBlue";"Player";"Red";"mid";NA;NA;NA;NA;NA;NA;NA;NA;1
"558";"BWE Errado";"Player";"Blue";"jungle";-3,60187356265228;5,98114946829089;-2,20787871782438;-35,410267719798;-96,0285398906884;-919,011666031677;-3402,468320205;NA;1
"559";"BWE Errado";"Player";"Red";"jungle";NA;NA;NA;NA;NA;NA;NA;NA;1
"560";"BWE manuemdo";"Player";"Blue";"support";1,56406745142548;1,90396593999473;-0,218431028607465;-2,73586498371983;-17,7096911820417;1187,67551755899;844,879359666632;NA;1
"561";"BWE manuemdo";"Player";"Red";"support";NA;NA;NA;NA;NA;NA;NA;NA;1
"562";"BWE NBA";"Player";"Blue";"bottom";-7,73747951739292;1,45783681902434;-7,74020878109372;-21,9129265356366;12,5780970805845;-1291,30570460794;-2234,99061926514;NA;1
"563";"BWE NBA";"Player";"Red";"bottom";NA;NA;NA;NA;NA;NA;NA;NA;1
"564";"BWE Surdinz";"Player";"Blue";"top";1,77737710082288;0,779691528082194;-9,01307587237952;6,74815917992638;-39,5729150118514;-259,718020775194;-3526,51447709815;NA;1
"565";"BWE Surdinz";"Player";"Red";"top";NA;NA;NA;NA;NA;NA;NA;NA;1
"566";"C9 Blaber";"Player";"Blue";"jungle";0,204203763083582;1,9387450457321;-2,72933013864631;-2,59717489401913;-1,85072407110571;98,7160496687056;-841,275690201677;NA;9
"567";"C9 Blaber";"Player";"Red";"jungle";-0,33293240807983;-0,912968587814273;1,02614043754779;9,71999095898491;21,9145240196212;95,0080837739754;394,918236776369;NA;9
"568";"C9 Loki ";"Player";"Blue";"mid";-2,40245419794171;1,73682128574306;-1,64399725305927;-12,6034994556556;-26,9627836537534;-298,445867068422;-1921,73533923644;NA;9
"569";"C9 Loki ";"Player";"Red";"mid";1,07539721202825;0,439985227435894;-2,56430216502585;-5,33538531796738;-11,8105367874132;-244,104422988682;-226,992695349736;NA;9
"570";"C9 Thanatos";"Player";"Blue";"top";0,198582571875396;1,15077597660027;-3,41109922436326;15,7944897096378;23,4302107143394;311,140026089469;-677,533208286994;NA;9
"571";"C9 Thanatos";"Player";"Red";"top";-0,287142824953427;-0,971671937750089;3,4501774579392;9,94069395435712;20,7710390565035;441,596942147808;1358,19696124765;NA;9
"572";"C9 Vulcan";"Player";"Blue";"support";-0,340425766553139;-0,0665664185641729;-1,30078176345053;-1,18340719030356;-1,0096517693491;74,8862183759614;-696,38668610147;NA;9
"573";"C9 Vulcan";"Player";"Red";"support";0,200871887461328;-0,43410965696023;0,066804817916399;0,764670543561428;-0,0262021345979217;54,27508915137;30,7667088768248;NA;9
"574";"C9 Zven";"Player";"Blue";"bottom";-1,12092183311305;-0,613088624967577;-0,319730090621231;-8,57189231176696;-5,13681664157723;-648,949597730404;-1401,87598982664;NA;9
"575";"C9 Zven";"Player";"Red";"bottom";2,20252256793714;-0,392956151061846;-0,778871528173979;0,558211454299851;19,7969396537496;205,572176530325;1636,96822154416;NA;9
"576";"Caitlyn";"Champion";"Blue";"bottom";-0,0787342007029547;-1,05525587946358;0,505016543293967;15,1995743107714;6,74934969450677;425,846782669854;697,803259907858;49;NA
"577";"Caitlyn";"Champion";"Blue";"mid";5,9210007238349;0,038777581702781;-4,81724624545358;6,8646554147123;8,83772118015033;73,5385905773087;3270,25428969605;1;NA
"578";"Caitlyn";"Champion";"Red";"bottom";-0,364288533246694;0,369874431373774;-2,92276242674549;9,98002844231583;12,9052541665846;26,773969010696;-132,376460193049;47;NA
"579";"Camille";"Champion";"Blue";"support";-2,35595277373495;5,211900956777;-11,3868478056418;3,82159899196425;39,4183744617569;-401,056703842226;-194,883604157797;1;NA
"580";"Camille";"Champion";"Blue";"top";0,505059809866927;0,356864427719312;-0,663699436385869;-7,21984930455126;-0,31711427931603;-141,597688147416;666,818356745037;78;NA
"581";"Camille";"Champion";"Red";"support";0,543641094121539;2,4298743171665;-5,05379786612558;-2,28314074389494;14,2170896573973;257,976127468407;263,070249910208;2;NA
"582";"Camille";"Champion";"Red";"top";1,4508886004088;-0,631992219110303;0,462862815142153;-8,62166262133071;-8,43339492062825;-113,055321696961;681,721950631928;41;NA
"583";"Cassiopeia";"Champion";"Blue";"mid";-0,136781759838064;-0,148691239551114;0,52663361730303;-3,44816306339246;14,7513080383047;44,0390876878466;694,387291893923;17;NA
"584";"Cassiopeia";"Champion";"Blue";"top";0,494117110385841;0,989256348771244;0,603184540927688;20,4357096300179;-0,0487844912016652;671,309415029019;-712,086340636887;4;NA
"585";"Cassiopeia";"Champion";"Red";"bottom";-2,18374836850204;3,04937587965417;-6,75275179918474;9,44161784667334;-7,14442150626606;340,567463624819;-1762,88970241556;1;NA
"586";"Cassiopeia";"Champion";"Red";"mid";-6,9093150245384;-0,808511857571028;-3,64637454494105;12,1190943084978;12,4727101874084;-1104,14414276326;-2894,78859597828;9;NA
"587";"Cassiopeia";"Champion";"Red";"top";1,77003283920311;-1,71836566033779;4,77454662731598;19,4714005202843;39,8912741977734;747,419651994869;1274,77661402465;2;NA
"588";"CBC Biob";"Player";"Blue";"support";0,966493641700894;1,14594693041519;-5,22780252032683;-2,40801150987638;-3,88194594725246;243,568203824879;-1080,2916609461;NA;2
"589";"CBC Biob";"Player";"Red";"support";-0,86016717667813;0,45102021704811;-9,14241040959198;-4,96770949715653;-24,4305017101281;-258,219642364932;-2241,83914888804;NA;1
"590";"CBC Dust";"Player";"Blue";"jungle";-2,82169633105093;4,12509811443645;-2,3025378534343;-28,2870468073041;-50,6371800742477;-568,286800740116;-3064,84904032656;NA;2
"591";"CBC Henli";"Player";"Blue";"mid";-3,20567889653476;0,730048793602916;0,492286863046848;-6,07177213235313;-25,4916743818534;10,0580894170395;-2688,86641606674;NA;2
"592";"CBC Henli";"Player";"Red";"mid";0,814246721123869;-0,555026809161891;-3,92175770563607;-15,5293179324947;-10,6788728223024;-525,519272890566;-588,755078495019;NA;3
"593";"CBC Kazunn1";"Player";"Blue";"top";-0,625065294233401;2,82714065914899;-0,3802973189931;-1,76373426646287;-33,6010199034527;213,816526164885;-2022,79678563179;NA;2
"594";"CBC Kazunn1";"Player";"Red";"top";-2,1218832814891;1,12826468267478;1,80048956191118;-13,2477253975626;-5,9694738898282;-231,258302678679;-1271,2576590544;NA;3
"595";"CBC SkyK";"Player";"Blue";"bottom";-3,47534058613685;-0,0953472720049261;-2,93293406286681;-20,3323953210839;-19,0142860173104;-1434,5734966144;-3357,24668975397;NA;2
"596";"CBC SkyK";"Player";"Red";"bottom";-6,26246418955032;3,22867688967659;-2,85442455015482;-10,0244342073596;-2,07764432387484;-2431,65063508472;-3261,27887649965;NA;3
"597";"CBC Totoro1";"Player";"Red";"support";0,477222637313916;3,45037648370519;-5,03252785025822;-3,220199592656;-14,6597616807274;-455,745214186352;-601,700440587781;NA;2
"598";"CBC Ty";"Player";"Red";"jungle";-2,91147314473579;2,90203932970745;-8,09908361615073;-19,247268849055;-31,833257197471;-1671,89922290411;-2702,0724990437;NA;3
"599";"CCG AoJune";"Player";"Blue";"mid";-3,88652355151674;4,72523756216036;-1,70974415688202;-7,98383436057586;-39,8365298806241;18,6003973778789;-2711,87467940881;NA;5
"600";"CCG AoJune";"Player";"Red";"mid";-4,85709872017227;4,40320836017067;-2,26849161947328;-11,4090884357187;-23,9505729222633;-1071,56924819631;-2116,18224849109;NA;6
"601";"CCG Array";"Player";"Blue";"bottom";-2,05814091547058;-0,282207502465651;1,19207583466363;-1,54880479196476;-32,8768193098339;84,2912793446908;-3376,81007962137;NA;5
"602";"CCG Array";"Player";"Red";"bottom";1,09213767438493;0,145325996658612;-1,85245084435932;15,6403849498897;6,21990118668502;416,102137954354;106,661451707121;NA;6
"603";"CCG Breezy";"Player";"Blue";"support";0,527636422207844;-0,629085336303852;4,23815615661558;4,51526274790133;4,80604654063915;387,500224925722;-164,440580948348;NA;5
"604";"CCG Breezy";"Player";"Red";"support";0,926656982516955;1,82995966438724;-0,43703839278639;5,69647484512485;4,94220816401487;175,466274410949;210,47731861967;NA;6
"605";"CCG Crimson";"Player";"Blue";"top";-2,35975706822138;-0,189678887774321;-2,74646826132977;27,5617781217293;37,9640863262731;284,875688449506;-1810,81833957721;NA;5
"606";"CCG Crimson";"Player";"Red";"top";-0,476629202767419;-1,35833814487543;-0,400238484913667;-2,17184798125507;20,6175261641439;37,5139442229844;591,252994519843;NA;6
"607";"CCG Dardoch";"Player";"Blue";"jungle";-1,10468643904542;3,6343516847445;-1,73149848121788;-2,23829479557944;3,89205302093828;78,0633936307649;-2052,18214132925;NA;5
"608";"CCG Dardoch";"Player";"Red";"jungle";-1,13132796159388;0,391221732159483;-0,778754200821108;-2,16646504231006;35,3789104561366;-54,1849310453712;-206,55490572861;NA;6
"609";"CFO Doggo";"Player";"Blue";"bottom";-0,278556058639114;-0,827203233897031;0,706525540251087;-3,27858842658722;10,9281681395489;-324,614520840868;307,024800222566;NA;15
"610";"CFO Doggo";"Player";"Red";"bottom";0,011875961079664;-2,16225226630844;1,20590890541752;-4,89006346967391;35,1512168336357;-103,10994462748;2226,71374381359;NA;18
"611";"CFO Driver";"Player";"Blue";"top";1,14408171111516;-0,582357569650649;0,484559120296927;29,5323363778657;31,4545262905164;824,201395530085;1662,31811653014;NA;9
"612";"CFO Driver";"Player";"Red";"top";0,954809751305482;-0,7863753570497;3,06760491025909;23,3067098344295;22,3142620134309;504,323326905934;2606,09509378261;NA;8
"613";"CFO HongQ";"Player";"Blue";"mid";-1,72574963876303;0,901021968785247;-3,99239369121871;-2,22433300032227;-14,0908832600965;-443,503351618611;-924,861311429984;NA;15
"614";"CFO HongQ";"Player";"Red";"mid";0,969160917459346;0,46344613703946;-6,56020504578188;-3,11309185398626;-3,76748628272001;-721,67335825762;30,9558585586297;NA;18
"615";"CFO JunJia";"Player";"Blue";"jungle";1,0120890478254;1,82052072041062;-2,28197958560772;-0,996233888987616;-6,01392526984505;-81,4950301951838;212,691100221236;NA;15
"616";"CFO JunJia";"Player";"Red";"jungle";1,84613080056622;0,175614608891334;-1,97306292952372;-4,6493610844246;9,52301746516354;-282,784733877369;1110,9394313532;NA;18
"617";"CFO Kaiwing";"Player";"Blue";"support";-0,211466491711486;0,58061930139756;-0,33148339734434;0,109826954789263;-7,77679143428001;141,482178601098;-122,823189717956;NA;15
"618";"CFO Kaiwing";"Player";"Red";"support";-0,2424544060173;-0,749924694110792;-1,46622649891589;0,256085616063472;-2,85395016224939;128,740616680371;155,848099597754;NA;18
"619";"CFO Rest";"Player";"Blue";"top";-0,794058516382216;0,256684586065559;-0,740139158034145;10,3954964700884;12,2728400272353;88,160586628878;22,8373097537708;NA;6
"620";"CFO Rest";"Player";"Red";"top";0,271428811843169;-0,916854967193798;2,95900542571289;8,94159322451371;22,9689920910932;255,344911514729;2541,98106512058;NA;10
"621";"CFOA 2274";"Player";"Blue";"support";-0,999464343291193;2,7533499267217;-4,27285759854579;-2,72881048562267;-8,25166116608364;-639,032501525233;-1527,20812943281;NA;6
"622";"CFOA 2274";"Player";"Red";"support";-0,540333852570022;3,73544105422013;-4,19238252016513;0,000213207686634943;-6,02239554885494;-729,976257541426;-961,996778940237;NA;13
"623";"CFOA Cuicuixi";"Player";"Blue";"bottom";-5,51520756446171;0,875251802133447;-0,839325573697646;-2,65693292895016;-31,9715042432671;-671,304496910096;-3707,05974546987;NA;6
"624";"CFOA Cuicuixi";"Player";"Red";"bottom";-3,77221376471723;-0,301620428300543;1,41840095422075;-2,37621419875047;-22,6938492673277;-32,1047158138456;-1223,73291471149;NA;13
"625";"CFOA Ka1ser";"Player";"Blue";"mid";-5,29582467391059;3,70119287492325;-0,117170695156004;-7,30919514155616;-41,8198405822533;-864,336026500674;-3119,63381784805;NA;6
"626";"CFOA Ka1ser";"Player";"Red";"mid";-5,0290112481253;1,47667813319277;1,0357974133556;-2,82450783195138;-2,74947250741897;-826,834741422292;-1341,36260571279;NA;13
"627";"CFOA Xin";"Player";"Blue";"jungle";-1,47230206108591;5,09374357590901;-9,12369098133261;12,0280359502425;-4,21477889235123;-33,5936215095407;-2442,05258613458;NA;6
"628";"CFOA Xin";"Player";"Red";"jungle";1,80689432884932;2,94529714450743;-5,20047069144344;6,11074849710671;-14,5110309597957;-43,5627008017375;-487,695945817974;NA;13
"629";"CFOA Zkai";"Player";"Blue";"top";-1,47854569804386;3,00509684067861;-4,32170285680411;29,5876348827953;14,9570841860192;402,843600287341;-3051,82599556394;NA;6
"630";"CFOA Zkai";"Player";"Red";"top";0,937716221220832;0,0315093032877468;-2,77345797595697;6,68817267620548;9,32499081216786;-73,0660569477834;-419,033281494028;NA;13
"631";"CG Dionelux";"Player";"Blue";"top";-5,71495746905448;4,39546852609558;-1,61928987395763;18,228844439697;70,9238527113476;583,601467440128;-2649,95788671195;NA;1
