"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"2736";"mid";"Ahri";"Yone";"15.7.671.9073";5;2,2;0,8;4,6;125;256;5050,2;10918,6;2,4;1,6;2,6;124,4;263,8;4819,2;11242;-0,2;-0,8;2;0,599999999999994;-7,80000000000001;231;-323,4;-0,2;-0,8;2;0,599999999999994;-7,80000000000001;231;-323,4
"2737";"mid";"Ahri";"Yone";"15.8.675.448";3;4,33333333333333;2,33333333333333;6,33333333333333;111,333333333333;239,333333333333;4745,33333333333;12165,6666666667;2,33333333333333;3,66666666666667;4,66666666666667;108,333333333333;290,666666666667;4698,33333333333;12614,3333333333;2;-1,33333333333333;1,66666666666667;3;-51,3333333333333;47;-448,666666666668;2;-1,33333333333333;1,66666666666667;3;-51,3333333333333;47;-448,666666666668
"2738";"mid";"Ahri";"Zoe";"15.8.675.448";1;1;5;6;114;209;4379;9171;4;1;7;137;234;5375;13462;-3;4;-1;-23;-25;-996;-4291;-3;4;-1;-23;-25;-996;-4291
"2739";"mid";"Akali";"Ahri";"15.2.653.8382";1;6;1;2;128;200;4584;10255;1;1;3;109;194;4838;8410;5;0;-1;19;6;-254;1845;5;0;-1;19;6;-254;1845
"2740";"mid";"Akali";"Ahri";"15.5.662.5311";1;3;1;0;74;238;2885;10603;3;0;4;68;272;3409;12409;0;1;-4;6;-34;-524;-1806;0;1;-4;6;-34;-524;-1806
"2741";"mid";"Akali";"Ahri";"15.8.675.448";2;1,5;1;1,5;122,5;206;4960;8309;1,5;0,5;1,5;122;207;4757,5;8388,5;0;0,5;0;0,5;-1;202,5;-79,5;0;0,5;0;0,5;-1;202,5;-79,5
"2742";"mid";"Akali";"Ambessa";"15.1.649.4112";1;5;1;3;134;219;4687;10885;3;3;2;133;250;5727;12440;2;-2;1;1;-31;-1040;-1555;2;-2;1;1;-31;-1040;-1555
"2743";"mid";"Akali";"Aurora";"15.1.649.4112";3;3,66666666666667;3;3,33333333333333;112,333333333333;268;4438,33333333333;12763,6666666667;6,33333333333333;2,66666666666667;5;112,333333333333;234;4823,33333333333;12623,3333333333;-2,66666666666667;0,333333333333333;-1,66666666666667;0;34;-385;140,333333333332;-2,66666666666667;0,333333333333333;-1,66666666666667;0;34;-385;140,333333333332
"2744";"mid";"Akali";"Aurora";"15.3.655.330";1;3;2;2;98;212;4133;10427;1;2;4;143;271;5298;11800;2;0;-2;-45;-59;-1165;-1373;2;0;-2;-45;-59;-1165;-1373
"2745";"mid";"Akali";"Aurora";"15.4.657.5386";2;2;2,5;4;129;209,5;4909,5;9596,5;3;1,5;3;133,5;232;5436,5;10331,5;-1;1;1;-4,5;-22,5;-527;-735;-1;1;1;-4,5;-22,5;-527;-735
"2746";"mid";"Akali";"Aurora";"15.7.669.5499";1;5;4;9;111;310;5427;16385;4;1;7;116;372;4579;17569;1;3;2;-5;-62;848;-1184;1;3;2;-5;-62;848;-1184
"2747";"mid";"Akali";"Aurora";"15.7.671.9073";1;2;2;2;98;142;4539;7568;4;1;0;110;143;5691;7401;-2;1;2;-12;-1;-1152;167;-2;1;2;-12;-1;-1152;167
"2748";"mid";"Akali";"Azir";"15.1.649.4112";1;2;2;1;125;212;4743;8922;2;0;2;132;229;4856;9302;0;2;-1;-7;-17;-113;-380;0;2;-1;-7;-17;-113;-380
"2749";"mid";"Akali";"Azir";"15.2.650.9216";1;6;0;4;128;310;5233;14625;0;0;0;144;353;4987;13183;6;0;4;-16;-43;246;1442;6;0;4;-16;-43;246;1442
"2750";"mid";"Akali";"Azir";"15.3.659.3416";1;3;0;5;137;329;5025;14737;2;2;0;151;316;5088;13368;1;-2;5;-14;13;-63;1369;1;-2;5;-14;13;-63;1369
"2751";"mid";"Akali";"Azir";"15.7.670.1561";1;4;2;3;104;202;4889;9670;3;1;7;104;220;4001;10225;1;1;-4;0;-18;888;-555;1;1;-4;0;-18;888;-555
"2752";"mid";"Akali";"Azir";"15.7.671.9073";4;6;2,75;3;118;266;4850,25;12953,75;3;2,75;3,25;108,75;274,75;4196,25;12960;3;0;-0,25;9,25;-8,75;654;-6,25;3;0;-0,25;9,25;-8,75;654;-6,25
"2753";"mid";"Akali";"Azir";"15.8.675.448";3;4,33333333333333;1,33333333333333;3,66666666666667;113,333333333333;222,333333333333;4450;10769,3333333333;2;2,33333333333333;2;129,666666666667;239,333333333333;4904;10439,6666666667;2,33333333333333;-1;1,66666666666667;-16,3333333333333;-17;-454;329,666666666668;2,33333333333333;-1;1,66666666666667;-16,3333333333333;-17;-454;329,666666666668
"2754";"mid";"Akali";"Galio";"15.2.653.8382";1;4;1;7;136;224;5272;10736;1;3;3;126;201;4679;8298;3;-2;4;10;23;593;2438;3;-2;4;10;23;593;2438
"2755";"mid";"Akali";"Galio";"15.5.662.5311";1;2;1;5;139;229;5169;9886;1;2;1;130;217;5087;8272;1;-1;4;9;12;82;1614;1;-1;4;9;12;82;1614
