"";"Abbr_1";"most_common_name_number_of_occurences";"RedTeamName"
"145";"FX";5;"RED Kalunga"
"146";"FX";5;"Fluxo W7M"
"147";"FXW7";25;"Fluxo W7M"
"148";"G2";55;"G2 Esports"
"149";"GAM";40;"GAM Esports"
"150";"GEN";80;"Gen.G Global Academy"
"151";"GK";90;"Geekay Esports"
"152";"GL";90;"Galions"
"153";"GLR";35;"GLORE.FIFINE"
"154";"GMB";49;"GMBLERS Esports"
"155";"GNG";50;"GNG Amazigh"
"156";"GOAL";20;"GOAL"
"157";"GSMC";65;"Gamespace MC"
"158";"GSNS";15;"Guasones"
"159";"GTZ";15;"Keypulse Esports"
"160";"GTZ";15;"GTZ Esports"
"161";"GUP";5;"GrowUp Esports"
"162";"GW";25;"GameWard"
"163";"GX";95;"GIANTX"
"164";"GXP";70;"GIANTX PRIDE"
"165";"GZ";55;"Ground Zero Gaming"
"166";"HELL";60;"Hell ZeroLag"
"167";"HKUF";30;"Hungkuang Falcon"
"168";"HLE";115;"Hanwha Life Esports"
"169";"HOF";20;"HOF Esports"
"170";"HPS";60;"HELLPIGS"
"171";"HRK";35;"Hanoi Rookies Esports"
"172";"HRTS";40;"Los Heretics"
"173";"HVE";20;"Saigon Hyper Vortex Esports"
"174";"ICON";30;"ICON Esports"
"175";"IE";40;"Isurus Estral"
"176";"IGGALA";17;"Invictus Gaming"
"177";"IGJiejie";17;"Invictus Gaming"
"178";"IGMeiko";17;"Invictus Gaming"
"179";"IGRookie";17;"Invictus Gaming"
"180";"IGTheShy";17;"Invictus Gaming"
"181";"IJC";105;"Ici Japon Corp"
"182";"IN5";35;"Team Insidious"
"183";"INF";10;"ICON Esports"
"184";"INF";10;"INFINITY"
"185";"ING";5;"Team UNiTY"
"186";"ING";5;"Inside Games"
"187";"JDGAle";14;"Beijing JDG Intel Esports"
"188";"JDGMISSING";14;"Beijing JDG Intel Esports"
"189";"JDGPeyz";14;"Beijing JDG Intel Esports"
"190";"JDGScout";14;"Beijing JDG Intel Esports"
"191";"JDGXun";14;"Beijing JDG Intel Esports"
"192";"JL";35;"Joblife"
"193";"JMGG";25;"Jörmungang"
"194";"KAOS";30;"KAOS Esport"
"195";"KBM";50;"KaBuM! IDL"
"196";"KC";120;"Karmine Corp"
"197";"KCB";79;"Karmine Corp Blue"
"198";"KCBS";2;"ZennIT"
"199";"KCH";25;"Kareha Children"
"200";"KHK";50;"Kaufland Hangry Knights"
"201";"KMF";55;"Fajnie Mieć Skład"
"202";"KOI";20;"Movistar KOI Fénix"
"203";"Kruimel";3;"Senshi eSports"
"204";"KT";95;"kt Challengers"
"205";"KYP";20;"Keypulse Esports"
"206";"LDS";40;"LODIS"
"207";"LEV";45;"LEVIATÁN"
"208";"LG";35;"Luminosity Gaming"
