"";"Role";"BlueTeamChampion";"RedTeamChampion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage"
"1289";"mid";"Viktor";"Xerath";2;3;2,5;6,5;111,5;288;4202,5;12472;7;2;8,5;103,5;230,5;4450,5;12712;-4;0,5;-2;8;57,5;-248;-240
"1290";"mid";"Viktor";"Yasuo";1;2;3;2;94;216;3458;9362;3;2;6;106;250;4086;11517;-1;1;-4;-12;-34;-628;-2155
"1291";"mid";"Viktor";"Yone";20;2,4;1,5;2,95;122,4;252,3;4768,25;10952,45;2;1,2;3,45;118,8;268,95;4810,1;11624,5;0,4;0,3;-0,5;3,60000000000001;-16,65;-41,8500000000004;-672,049999999999
"1292";"mid";"Viktor";"Ziggs";1;4;2;3;139;266;4895;11973;0;2;6;131;211;4529;9901;4;0;-3;8;55;366;2072
"1293";"mid";"Viktor";"Zilean";1;1;1;3;140;290;5396;11490;0;0;3;110;229;4384;8882;1;1;0;30;61;1012;2608
"1294";"mid";"Vladimir";"Ahri";2;2,5;2,5;6;112;263,5;4632,5;12145,5;3,5;2,5;6;123;267,5;5240;13226;-1;0;0;-11;-4;-607,5;-1080,5
"1295";"mid";"Vladimir";"Akali";1;3;0;5;127;274;4539;13350;2;3;3;131;215;5204;11450;1;-3;2;-4;59;-665;1900
"1296";"mid";"Vladimir";"Aurora";10;1,8;2,3;3,7;119,6;232,3;4686,4;9991,2;2,6;1,7;4,5;125,1;234,7;5041,5;10996,2;-0,8;0,6;-0,8;-5,5;-2,39999999999998;-355,1;-1005
"1297";"mid";"Vladimir";"Syndra";1;3;1;4;105;249;5135;11011;1;2;6;133;254;4836;11534;2;-1;-2;-28;-5;299;-523
"1298";"mid";"Xerath";"Aurora";1;3;1;7;58;137;3872;7668;8;4;9;101;178;5591;10624;-5;-3;-2;-43;-41;-1719;-2956
"1299";"mid";"Xerath";"Azir";2;3,5;0,5;5;128,5;270,5;4904;12897,5;3,5;2,5;2,5;137;283,5;5982;12722,5;0;-2;2,5;-8,5;-13;-1078;175
"1300";"mid";"Xerath";"Taliyah";1;3;3;3;140;219;5359;10168;7;1;5;126;214;5661;11102;-4;2;-2;14;5;-302;-934
"1301";"mid";"Xerath";"Viktor";1;1;2;3;131;235;4993;9846;3;1;5;138;249;4854;11576;-2;1;-2;-7;-14;139;-1730
"1302";"mid";"Xerath";"Yone";1;8;3;8;114;241;5390;15521;2;3;7;113;284;4512;13670;6;0;1;1;-43;878;1851
"1303";"mid";"Xerath";"Ziggs";1;8;1;9;126;233;5018;12583;0;2;0;118;242;4288;9344;8;-1;9;8;-9;730;3239
"1304";"mid";"Yasuo";"Ahri";1;4;4;7;140;262;6208;12315;3;3;9;130;258;4881;13265;1;1;-2;10;4;1327;-950
"1305";"mid";"Yasuo";"Akali";1;9;1;11;77;312;3230;17135;4;6;3;62;249;2586;12508;5;-5;8;15;63;644;4627
"1306";"mid";"Yasuo";"Hwei";1;2;6;5;118;260;4403;10647;3;1;8;123;232;4504;11561;-1;5;-3;-5;28;-101;-914
"1307";"mid";"Yasuo";"Jayce";1;6;1;5;116;249;4690;13565;0;3;3;113;254;4124;9523;6;-2;2;3;-5;566;4042
"1308";"mid";"Yasuo";"Leblanc";1;6;3;7;133;241;5345;12338;2;3;2;129;236;5477;10927;4;0;5;4;5;-132;1411
"1309";"mid";"Yasuo";"Swain";1;0;4;3;118;178;4744;7210;3;0;8;99;171;4508;8394;-3;4;-5;19;7;236;-1184
"1310";"mid";"Yasuo";"Syndra";2;3,5;2;4;140,5;360,5;5126;16787;4;2;6,5;127,5;301,5;4860;15207,5;-0,5;0;-2,5;13;59;266;1579,5
"1311";"mid";"Yasuo";"Tristana";1;1;3;7;132;273;4788;12380;2;3;4;131;258;4838;11457;-1;0;3;1;15;-50;923
"1312";"mid";"Yasuo";"Viktor";1;5;4;0;90;188;4428;9834;4;2;5;101;173;4628;8710;1;2;-5;-11;15;-200;1124
"1313";"mid";"Yasuo";"Yone";2;3,5;3,5;7;125,5;282,5;4657;13419,5;2;2,5;6;123;307,5;4949,5;13157;1,5;1;1;2,5;-25;-292,5;262,5
"1314";"mid";"Yone";"Ahri";28;2,14285714285714;2,85714285714286;3,32142857142857;123,285714285714;274,892857142857;4758,60714285714;12048,2142857143;3,75;1,57142857142857;6,14285714285714;117,928571428571;259;4678,35714285714;12253,4285714286;-1,60714285714286;1,28571428571429;-2,82142857142857;5,35714285714286;15,8928571428572;80,25;-205,214285714284
"1315";"mid";"Yone";"Akali";11;1,81818181818182;3,54545454545455;5,09090909090909;97,4545454545455;265,636363636364;3987,45454545455;11696,1818181818;4,72727272727273;2,45454545454545;3,63636363636364;104,181818181818;247,909090909091;4447,45454545455;12217;-2,90909090909091;1,09090909090909;1,45454545454545;-6,72727272727273;17,7272727272727;-460;-520,818181818182
"1316";"mid";"Yone";"Ambessa";2;1,5;3,5;4,5;133,5;270;5094,5;11265;2;1,5;3,5;137,5;254;4842,5;11805;-0,5;2;1;-4;16;252;-540
"1317";"mid";"Yone";"Annie";1;2;3;3;92;215;3794;9915;4;0;3;99;197;4810;8842;-2;3;0;-7;18;-1016;1073
"1318";"mid";"Yone";"Aurora";17;2,35294117647059;2,23529411764706;3,82352941176471;114,294117647059;270,823529411765;4638;11773,2941176471;2,47058823529412;2,17647058823529;4,29411764705882;116,941176470588;241,058823529412;4800;10883,2941176471;-0,117647058823529;0,0588235294117649;-0,470588235294117;-2,64705882352941;29,7647058823529;-162;890
"1319";"mid";"Yone";"Azir";26;2,5;1,92307692307692;4,23076923076923;116,115384615385;290,307692307692;4557,07692307692;12753,7307692308;1,92307692307692;2,19230769230769;4;116,384615384615;276,923076923077;4507,76923076923;12001,8846153846;0,576923076923077;-0,269230769230769;0,230769230769231;-0,269230769230774;13,3846153846154;49,3076923076924;751,846153846154
"1320";"mid";"Yone";"Cassiopeia";1;1;2;4;121;259;4839;10646;2;2;1;127;245;4635;11193;-1;0;3;-6;14;204;-547
"1321";"mid";"Yone";"Corki";23;2,52173913043478;2,47826086956522;3,56521739130435;123,652173913043;271,739130434783;4898,08695652174;12320,4782608696;3,30434782608696;2,26086956521739;3,8695652173913;127,434782608696;275,521739130435;5101,47826086957;12767,0434782609;-0,782608695652174;0,217391304347826;-0,304347826086957;-3,78260869565217;-3,78260869565219;-203,391304347826;-446,565217391304
"1322";"mid";"Yone";"Galio";3;1,66666666666667;1,66666666666667;4;120,333333333333;251,666666666667;4677,33333333333;11025;4;2;3,66666666666667;124;192,666666666667;5218,66666666667;10111;-2,33333333333333;-0,333333333333333;0,333333333333333;-3,66666666666667;59;-541,333333333334;914
"1323";"mid";"Yone";"Hwei";3;1;2;4,66666666666667;118,666666666667;285,666666666667;4610;11542,3333333333;3;1,33333333333333;4,33333333333333;129;278,666666666667;5226,33333333333;13129,6666666667;-2;0,666666666666667;0,333333333333334;-10,3333333333333;7;-616,333333333333;-1587,33333333333
"1324";"mid";"Yone";"Jayce";5;1,2;2,8;2,8;116,8;247,6;4663,2;10010,6;2,8;2,4;3,4;123,8;234,2;5199,4;11440,2;-1,6;0,4;-0,6;-7;13,4;-536,2;-1429,6
"1325";"mid";"Yone";"Katarina";1;2;1;4;111;181;4608;8584;1;2;1;110;190;4366;8483;1;-1;3;1;-9;242;101
"1326";"mid";"Yone";"Mel";2;1;1,5;4,5;123,5;227,5;4713;9029,5;3;1;3;140;226,5;5641;10015;-2;0,5;1,5;-16,5;1;-928;-985,5
"1327";"mid";"Yone";"Nasus";1;4;2;7;139;231;5381;11244;2;4;0;122;188;4868;8729;2;-2;7;17;43;513;2515
"1328";"mid";"Yone";"Orianna";4;2,5;2,5;3;111,75;258;4425,75;11040;2;2,5;5,5;123;238,25;4936,25;10935,25;0,5;0;-2,5;-11,25;19,75;-510,5;104,75
"1329";"mid";"Yone";"Pantheon";1;2;2;9;118;254;4851;11223;2;6;4;120;193;5808;9796;0;-4;5;-2;61;-957;1427
"1330";"mid";"Yone";"Ryze";8;2,75;1,875;2,625;107,5;245,75;4172,5;11014,25;3;1,375;6,125;114,125;247,5;4681,125;11189,125;-0,25;0,5;-3,5;-6,625;-1,75;-508,625;-174,875
"1331";"mid";"Yone";"Smolder";2;4,5;0,5;1,5;135;244;5275;10934,5;1;2,5;0,5;122;240,5;4783,5;9830,5;3,5;-2;1;13;3,5;491,5;1104
"1332";"mid";"Yone";"Sylas";6;1,33333333333333;3,33333333333333;1,66666666666667;116,5;232,666666666667;4414,66666666667;9657;3,5;1,5;3,5;115;217;4634,33333333333;10196,1666666667;-2,16666666666667;1,83333333333333;-1,83333333333333;1,5;15,6666666666667;-219,666666666666;-539,166666666666
"1333";"mid";"Yone";"Syndra";1;6;0;4;129;220;4838;10854;1;1;0;127;206;4540;8056;5;-1;4;2;14;298;2798
"1334";"mid";"Yone";"Taliyah";13;2,92307692307692;2,76923076923077;2,46153846153846;117,153846153846;282,769230769231;4581,69230769231;12586,3076923077;2,61538461538462;2,30769230769231;5,69230769230769;120,384615384615;272,923076923077;4715,92307692308;12446,3846153846;0,307692307692307;0,461538461538462;-3,23076923076923;-3,23076923076923;9,84615384615387;-134,23076923077;139,923076923076
