"";"Champion";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"197";"Smolder";"mid";2;4,5;2;11;129;283,5;5224;15510,5;"Red"
"198";"Sylas";"mid";4;3;2;3,75;111,25;230;4997,75;10849,25;"Red"
"199";"Sylas";"top";1;5;5;5;104;219;5269;11925;"Red"
"200";"Syndra";"mid";1;1;3;1;133;264;5364;10495;"Red"
"201";"Taliyah";"mid";28;2,03571428571429;1,64285714285714;5,96428571428571;132,142857142857;265,464285714286;5003,57142857143;11829,6428571429;"Red"
"202";"Tristana";"bottom";3;2,33333333333333;1,33333333333333;3;114,333333333333;209;4762,66666666667;9368;"Red"
"203";"Tristana";"mid";2;4,5;1;3,5;127,5;275;5266;13181,5;"Red"
"204";"Tryndamere";"mid";1;4;0;1;127;229;5943;11088;"Red"
"205";"Varus";"bottom";22;3,59090909090909;1,13636363636364;4,68181818181818;131,909090909091;262,272727272727;5292,90909090909;11905,5454545455;"Red"
"206";"Vex";"mid";1;1;2;4;137;251;4957;10314;"Red"
"207";"Vi";"jungle";19;2,21052631578947;1,73684210526316;4,63157894736842;103,842105263158;187,263157894737;4970,47368421053;9695,57894736842;"Red"
"208";"Viego";"jungle";9;3,33333333333333;2,33333333333333;5,22222222222222;104,666666666667;183;5075,22222222222;10011,3333333333;"Red"
"209";"Viego";"mid";1;3;0;7;142;286;5689;12909;"Red"
"210";"Viktor";"mid";15;2,66666666666667;1,06666666666667;4,06666666666667;138,333333333333;252,133333333333;5161,8;10841,3333333333;"Red"
"211";"Xayah";"bottom";14;3,28571428571429;1;3,57142857142857;132,642857142857;289,214285714286;5618,5;12864,0714285714;"Red"
"212";"XinZhao";"jungle";26;1,84615384615385;2,53846153846154;6,30769230769231;102,923076923077;196,307692307692;4832;10324,1153846154;"Red"
"213";"Yasuo";"mid";1;5;3;5;133;348;4948;15836;"Red"
"214";"Yone";"mid";16;2,5625;1,3125;3,9375;126,875;272;5044,75;11851,4375;"Red"
"215";"Yorick";"top";4;0,75;1,5;1,5;130;262,5;4737,5;10537,25;"Red"
"216";"Zeri";"bottom";9;4;1,33333333333333;4,11111111111111;129,666666666667;292,777777777778;5392,66666666667;13236,5555555556;"Red"
"217";"Zeri";"mid";1;2;3;1;130;211;5366;8822;"Red"
"218";"Ziggs";"bottom";4;1,25;1,5;6,25;124,5;249,5;4822,75;10835,75;"Red"
"219";"Zoe";"mid";1;4;1;10;132;199;5158;10194;"Red"
"220";"Zyra";"jungle";2;1;4;5;102;186,5;4771,5;9549,5;"Red"
