"";"Champion";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played"
"41";"Ashe";"Red";"support";0,641441611423101;1,43330634333544;-2,38558210410869;-7,25466131395317;10,0067094850189;-119,991498373688;714,189445225547;1
"42";"AurelionSol";"Blue";"mid";1,41557290035751;0,0207898518872312;0,675725161146851;-10,700643754563;-2,59686607895348;-434,217967090976;512,723429909516;14
"43";"AurelionSol";"Red";"mid";0,508631920465053;-2,36929897761044;1,72953386934633;2,87428803791964;40,0074665866561;-28,7153090998685;1408,79906156914;8
"44";"Aurora";"Blue";"mid";0,0637578989036904;0,840187301449448;-1,72347058045997;-0,0699624215874827;-3,18897470202347;21,4424206846112;-233,429469845531;171
"45";"Aurora";"Blue";"top";0,592507038584971;-0,738956777810391;0,712230929213111;9,12090046439795;9,11507552733093;253,375765080208;341,84455721225;36
"46";"Aurora";"Red";"mid";3,08913693857054;-3,72508646376096;0,383629798448774;24,9238105080071;53,722951746476;882,48437400634;2718,0954901249;175
"47";"Aurora";"Red";"top";1,30107244846001;-0,0912984033830062;0,00640344494331939;10,7585280609781;3,96380420470716;343,188545005418;16,9444261355384;18
"48";"Azir";"Blue";"mid";-0,800131756895404;0,837240419804012;-1,35961892598795;-0,695573180149995;11,544041450999;-146,754474658145;275,742205561742;268
"49";"Azir";"Blue";"top";4,60934834636131;0,0235808152264694;0,271969933370106;2,83604622945534;66,0673764871849;-328,303650424171;4597,42715450665;1
"50";"Azir";"Red";"mid";2,86645743317615;-3,88541601827043;0,306009743229956;26,6217018789376;71,2798013198645;830,547147925656;3315,99699289204;286
"51";"Bard";"Blue";"support";0,410701192092006;-0,627283212272479;1,62979976268475;-4,24383433483376;0,319564069540059;267,37568417547;432,076284834902;43
"52";"Bard";"Red";"support";0,067990861627237;0,0205703597368702;-1,0017701384282;-2,42409654433165;3,15262086436023;101,218276762197;191,844289111064;41
"53";"Belveth";"Blue";"jungle";0,603807494656156;0,441661610923437;2,40968412043316;18,4626285033341;60,0667535904895;43,6075182067593;1753,02102887775;5
"54";"Belveth";"Red";"jungle";2,04443975119332;-0,799906214173332;-0,344518758771681;14,9428892884645;23,9936391587069;745,409547519361;1800,1495047977;7
"55";"Blitzcrank";"Blue";"support";0,319806670694239;-0,641348298794356;0,972342739066049;-2,93014989506601;-2,56534844151901;58,5416921438866;299,524333052812;28
"56";"Blitzcrank";"Red";"support";0,256541169852376;0,48315785949152;-1,4105395642128;-2,12467319655521;0,264486665553322;-74,8356499005992;146,051485018503;21
"57";"Brand";"Blue";"bottom";7,50210945708509;-1,19516253643665;5,21930943464207;17,5465144180998;22,8939739825951;1197,92779556582;3865,51986611076;1
"58";"Brand";"Blue";"jungle";-0,836240340346745;1,78041922570005;1,69374875670004;13,6417122418672;28,0380063616205;128,903037262447;407,512014431565;14
"59";"Brand";"Red";"bottom";-1,91238504617626;2,527449983558;-2,46012854576038;-19,0708236230891;-59,6411888250736;-911,121991542453;-3469,28468097639;1
"60";"Brand";"Red";"jungle";0,376701100432503;-0,0766878288528684;-1,52167995077254;6,73387234860543;2,69800591538673;365,274228247202;298,70931824444;7
