"";"RedTeamName";"most_common_abbreviation_number_of_occurences";"Abbr_1"
"148";"HOF Esports";20;"HOF"
"149";"Hungkuang Falcon";30;"HKUF"
"150";"Ici Japon Corp";105;"IJC"
"151";"ICON Esports";30;"ICON"
"152";"INFINITY";10;"INF"
"153";"Inside Games";5;"ING"
"154";"Inside Games";5;"UNIT"
"155";"Invictus Gaming";17;"IGGALA"
"156";"Invictus Gaming";17;"IGTheShy"
"157";"Invictus Gaming";17;"IGMeiko"
"158";"Invictus Gaming";17;"IGRookie"
"159";"Invictus Gaming";17;"IGJiejie"
"160";"Isurus Estral";40;"IE"
"161";"Joblife";35;"JL"
"162";"Jörmungang";25;"JMGG"
"163";"KaBuM! IDL";50;"KBM"
"164";"KAOS Esport";30;"KAOS"
"165";"Kareha Children";25;"KCH"
"166";"Karmine Corp Blue";79;"KCB"
"167";"Karmine Corp";120;"KC"
"168";"Kaufland Hangry Knights";50;"KHK"
"169";"Keypulse Esports";20;"KYP"
"170";"KIA.eSuba Academy";35;"ESBA"
"171";"kt Challengers";95;"KT"
"172";"kt Rolster";90;"KT"
"173";"Leões de Porto Salvo Esports";10;"LPS"
"174";"LEVIATÁN";45;"LEV"
"175";"LODIS";40;"LDS"
"176";"Los Heretics";40;"HRTS"
"177";"Los Ratones";100;"LR"
"178";"LOS";40;"LOS"
"179";"LOUD";45;"LOUD"
"180";"LUA Gaming";30;"LUA"
"181";"Luminosity Gaming";35;"LG"
"182";"Lundqvist Lightside";10;"LLS"
"183";"Lupus Esports";30;"LUP"
"184";"Lyon Gaming Academy";20;"LYON"
"185";"LYON";30;"LYON"
"186";"Macko Esports";35;"MCK"
"187";"Malvinas Gaming";28;"MVG"
"188";"Maze Gaming Esports";5;"SIC"
"189";"Maze Gaming Esports";5;"MAZ"
"190";"mCon Esports";60;"MCON"
"191";"Meavedron";40;"MVE"
"192";"MGN Vikings Esports";40;"MVKE"
"193";"Mighty Eagles";10;"MIE"
"194";"Misa Esports";105;"MISA"
"195";"Movistar KOI Fénix";45;"MKF"
"196";"Movistar KOI";75;"MKOI"
"197";"my star";60;"STAR"
"198";"Myth Esports";50;"MYTH"
"199";"Near Airport";50;"NA"
"200";"Nice Try";25;"NT"
"201";"Night Cap";5;"SQG"
"202";"Night Cap";5;"NCP"
"203";"NightBirds";70;"NBS"
"204";"Nigma Galaxy";65;"NGX"
"205";"NONGSHIM RED FORCE";85;"NS"
"206";"NORD Esports";55;"NORD"
"207";"NS Challengers";95;"NS"
"208";"ODD Esports";30;"ODD"
"209";"Odivelas Sports Club";20;"OSC"
"210";"Oh My God";10;"OMGHery"
"211";"Oh My God";10;"OMGMoham"
"212";"Oh My God";10;"OMGStarry"
"213";"OKSavingsBank BRION";95;"BRO"
"214";"Once Upon a Team";20;"OUAT"
"215";"One More Esports ";55;"1M"
"216";"Orbit Anonymo";65;"OAE"
"217";"paiN Gaming";35;"PAIN"
"218";"Papara SuperMassive ";100;"SUP"
"219";"Partizan Sangal";5;"CNA"
"220";"Partizan Sangal";5;"PXS"
"221";"Peek Gaming";35;"PK"
"222";"Pulse Star";20;"PLS"
"223";"QT DIG";25;"QTD"
"224";"Ramboot Club";50;"RBT"
"225";"RATZ";35;"RATZ"
"226";"RED Kalunga Academy";30;"RED"
"227";"RED Kalunga";25;"RED"
"228";"REJECT";55;"RC"
"229";"Rich Gang";25;"RG"
"230";"RISE Gaming";30;"RISE"
"231";"Rogue";60;"RGE"
"232";"Rossmann Centaurs";50;"ROSS"
"233";"Royal Never Give Up";12;"RNGJiaQi"
"234";"Royal Never Give Up";12;"RNGmilkyway"
"235";"Royal Never Give Up";12;"RNGTangyuan"
"236";"Royal Never Give Up";12;"RNGXiaoxu"
"237";"Saigon CyberCore Esports";15;"CBC"
"238";"Saigon Dino";15;"DINO"
"239";"Saigon Hyper Vortex Esports";20;"HVE"
"240";"Saigon Secret";30;"TS"
"241";"Saigon Team Flash";70;"TF"
"242";"SDM Tigres";25;"SDM"
"243";"Senshi eSports";27;"SNSH"
"244";"Seven Dark";15;"7D"
"245";"SHANGHAI EDWARD GAMING HYCAN";14;"EDGXiaohao"
"246";"SHANGHAI EDWARD GAMING HYCAN";14;"EDGAngel"
"247";"SHANGHAI EDWARD GAMING HYCAN";14;"EDGZdz"
"248";"SHANGHAI EDWARD GAMING HYCAN";14;"EDGWink"
"249";"SHENZHEN NINJAS IN PYJAMAS";14;"NIPppgod"
"250";"SHENZHEN NINJAS IN PYJAMAS";14;"NIPLeave"
"251";"SHENZHEN NINJAS IN PYJAMAS";14;"NIPAki"
"252";"SHENZHEN NINJAS IN PYJAMAS";14;"NIPshanji"
"253";"SHENZHEN NINJAS IN PYJAMAS";14;"NIPDoinb"
"254";"Shopify Rebellion";30;"SR"
"255";"SICAR Esports";15;"SIC"
"256";"SK Gaming";25;"SK"
"257";"Solary";45;"SLY"
"258";"SPIKE Syndicate";10;"SPK"
"259";"Spirit Quartz Gaming";30;"SQG"
"260";"Stellae Gaming";35;"STE"
"261";"Str1ve Esports";10;"ST1"
"262";"Supernova";40;"SN"
"263";"Suzhou LNG Ninebot Esports";11;"LNGZika"
"264";"Suzhou LNG Ninebot Esports";11;"LNGZhuo"
"265";"Suzhou LNG Ninebot Esports";11;"LNGhaichao"
"266";"T1 Esports Academy";115;"T1"
"267";"T1";75;"T1"
"268";"Talon Academy";35;"TLNA"
"269";"Talon";60;"TLN"
"270";"Tan'i eSports";25;"TNI"
"271";"Team BDS Academy";10;"BDSA"
"272";"Team BDS";45;"BDS"
"273";"Team Heretics";70;"TH"
"274";"Team Insidious";35;"IN5"
"275";"Team Liquid Honda";65;"TL"
"276";"Team Paradox";40;"TPX"
"277";"Team Phantasma";44;"TP"
"278";"Team Refuse";15;"RFS"
"279";"Team Secret Club";10;"TSC"
"280";"Team Secret Whales";45;"TSW"
"281";"Team UNiTY";45;"UNIT"
"282";"Team Vitality";65;"VIT"
"283";"TeamOrangeGaming";65;"TOG"
"284";"The Chiefs Esports Club";30;"CHF"
"285";"The Ruddy Sack";30;"RS"
"286";"THUNDERTALKGAMING";21;"TT1xn"
"287";"THUNDERTALKGAMING";21;"TTFeather"
"288";"THUNDERTALKGAMING";21;"TTHOYA"
"289";"THUNDERTALKGAMING";21;"TTSeTab"
"290";"TOPESPORTS";35;"TES"
"291";"UCAM Esports";50;"UCAM"
"292";"ULF ESPORTS";50;"ULF"
"293";"Ultra Prime";17;"UP1Jiang"
"294";"Ultra Prime";17;"UPSaber"
"295";"Ultra Prime";17;"UPJunhao"
"296";"Ultra Prime";17;"UPWako"
"297";"Underworld Esports";5;"UW"
"298";"Underworld Esports";5;"GMB"
"299";"Unicorns of Love Sexy Edition";60;"USE"
"300";"V3 Esports";5;"KCH"
"301";"V3 Esports";5;"V3"
"302";"VARREL YOUTH";50;"VLY"
"303";"VeLocitY";5;"VEL"
"304";"VeLocitY";5;"BKD"
"305";"Veni Vidi Vici";40;"VVV"
"306";"Venomcrest";40;"VNC"
"307";"Verdant";45;"VER"
"308";"Vitality.Bee";45;"VITB"
"309";"Vivo Keyd Stars Academy";35;"VKS"
"310";"Vivo Keyd Stars";40;"VKS"
"311";"Vungtau Never Give Up";10;"NGU"
"312";"wangting";20;"WT"
"313";"Wap Esports";15;"WAP"
"314";"We Can Win";5;"WIN"
"315";"We Can Win";5;"BCT"
"316";"WeiboGaming Faw Audi";20;"WBGBreathe"
"317";"WeiboGaming Faw Audi";20;"WBGTian"
"318";"WeiboGaming Faw Audi";20;"WBGLight"
"319";"WeiboGaming Faw Audi";20;"WBGXiaohu"
"320";"WeLoveGaming";40;"WLG"
"321";"West Point Esports";105;"WP"
"322";"White Dragons";10;"WD"
"323";"Winthrop University";25;"WU"
"324";"Xi'an Team WE";13;"WEKaris"
"325";"Xi'an Team WE";13;"WECube"
"326";"Xi'an Team WE";13;"WEVampire"
"327";"Xi'an Team WE";13;"WETaeyoon"
"328";"Yang Yang Gaming";25;"YYG"
"329";"Zena Esports";55;"ZENA"
"330";"ZennIT";55;"ZNT"
"331";"Zero Tenacity";105;"Z10"
"332";"ZeroZone Gaming";20;"ZZG"
"333";"ZETA Gaming";30;"ZTA"
"334";"Zeu5 Esports";25;"Z5"
