"";"Parameter";"Parameter_type";"Role";"Side";"Kills above expected per game";"Deaths above expected per game";"Assists above expected per game";"CSAt15Min above expected per game";"CSAtEnd above expected per game";"GoldAt15Min above expected per game";"GoldAtEnd above expected per game";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end"
"247";"Orianna";"Champion";"mid";"Blue";-0,197515452374717;1,26193976832921;-0,771618875308939;6,40897961273273;-20,1002401638225;-16,1307224373392;-1375,11223885059;5;1;2,4;3,6;129,8;251,6;4900,8;10098,4
"248";"Orianna";"Champion";"mid";"Red";-2,3610620332425;2,08753804429399;-1,45699307931613;10,3795918074105;2,12757983892143;323,796473687566;-1231,93773404903;3;1;3,33333333333333;6,33333333333333;132;270;5371;11494,3333333333
"249";"Ornn";"Champion";"top";"Blue";-1,94274573492287;1,57501702999825;1,33936151592049;-13,8560296118153;-42,3823845914659;-880,096562945602;-2180,98393770737;2;1;1,5;6;105,5;213;4403,5;9807,5
"250";"Ornn";"Champion";"top";"Red";0,606414339923415;1,51801313348948;1,1542983834674;-20,4610757263266;-24,6821037403637;-804,313567577145;-547,536397829416;3;0,666666666666667;4;3,66666666666667;98,3333333333333;176,666666666667;4208,33333333333;8168
"251";"Pantheon";"Champion";"jungle";"Blue";-0,115856366179085;-1,21439844274053;-4,81842724256847;-7,86340685883885;-6,88054385104692;-10,4381211113073;-1231,08936609281;9;2,66666666666667;1,66666666666667;4,44444444444444;104,777777777778;187,777777777778;4884;9716,44444444445
"252";"Pantheon";"Champion";"jungle";"Red";5,83623779822147;1,53610855547856;-7,90524322813973;-31,680485914147;-30,4752734180134;282,911468907034;1278,09054797887;4;6;2,75;5,25;101,75;179;5612,5;10463
"253";"Pantheon";"Champion";"mid";"Blue";-0,104389669243142;0,443370509443032;-2,54260657096154;-31,8960008786393;-75,5203635101565;-1271,86284838534;-1527,03635473426;1;1;2;4;103;204;4157;9317
"254";"Pantheon";"Champion";"mid";"Red";3,64632213256391;-1,6481738883386;-0,333551111391914;-6,28160657416306;-41,5911573445259;-84,3683387739828;258,706255762297;1;7;2;6;123;238;4726;13530
"255";"Pantheon";"Champion";"support";"Blue";1,09134593635754;3,43691937282117;-12,0994457908447;-1,42216183212246;-0,768913443522554;-28,7111435462927;-887,978169774472;4;1,5;4,5;3,25;19,25;32,75;3202,5;6842,25
"256";"Pantheon";"Champion";"support";"Red";2,02365586580927;-1,31851846949673;0,669587066929288;3,60160139276835;11,342253898149;296,392851473152;1576,75014310205;3;2,33333333333333;2,33333333333333;6;22,3333333333333;38;3542,33333333333;7527,33333333333
"257";"Poppy";"Champion";"jungle";"Blue";1,44878165529818;-2,71112189283703;-4,40014881172551;-7,28412837262966;-11,4490403328416;118,437901004549;-1091,26868184373;5;1,2;1,4;4,4;99,6;186,6;4656,6;10006,2
"258";"Poppy";"Champion";"jungle";"Red";2,50238538816024;1,12743002721705;-6,71216780817742;-19,1082802927446;-41,8818563407498;-52,6312367798936;662,179342298693;5;2,8;1,2;4,8;98,6;177,4;4924,6;10220,4
"259";"Poppy";"Champion";"support";"Blue";0,172443067556874;0,926444906104597;-1,65998978430624;2,41834931704477;1,43747522575786;-21,6827943520647;108,946268540737;17;0,941176470588235;3;6,29411764705882;21;32,6470588235294;3361,23529411765;7021,88235294118
"260";"Poppy";"Champion";"support";"Red";0,19758876224509;-1,08541597121549;1,83598924060335;3,52933654364524;5,37347926273695;70,0318928294768;641,845088310873;13;0,923076923076923;2,61538461538462;6,23076923076923;21,4615384615385;33,3076923076923;3366,07692307692;6722,69230769231
"261";"Pyke";"Champion";"support";"Blue";0,004953111836214;2,02212080798516;-6,64029639441519;-8,60075090508638;-13,8101135556688;-367,576294567536;-1722,13776280361;1;0;2;1;24;30;3234;4988
"262";"Rakan";"Champion";"support";"Blue";-0,30633631587803;0,925370422804625;-2,73267809727081;-1,79203656586171;-1,86833725777406;-48,3465531599754;-440,951448629383;26;0,384615384615385;1,92307692307692;5,73076923076923;18,5384615384615;30,1153846153846;3280,5;6544,38461538462
"263";"Rakan";"Champion";"support";"Red";0,273788946813147;-1,23746505302329;0,263881250126708;2,25224997255649;4,5682162017433;216,482966843813;574,379346927552;16;0,4375;1,875;7,125;18,4375;30,5;3312,8125;7060,75
"264";"Rell";"Champion";"support";"Blue";-0,0972849768041529;2,34610551622557;-2,39593974696386;-0,121025102999845;0,621176768432452;-270,280095246568;-663,242805330437;12;0,666666666666667;3,58333333333333;6;21,1666666666667;28,5833333333333;3215,91666666667;6131,16666666667
"265";"Rell";"Champion";"support";"Red";0,396840830741293;-1,00284038240859;3,13115885174939;4,2999440840219;4,07337540345374;327,703393292155;1048,01085556822;31;0,645161290322581;2,64516129032258;6,41935483870968;20,1290322580645;29,8709677419355;3260,67741935484;6622,51612903226
"266";"Renata";"Champion";"support";"Blue";-1,22080741404652;1,49762364291737;-3,30423016612643;0,359710101786606;0,565677344126114;-128,315147876777;-404,763721024507;12;0,166666666666667;3,16666666666667;6,41666666666667;21,9166666666667;35,3333333333333;3323,33333333333;6939,16666666667
"267";"Renata";"Champion";"support";"Red";0,207570103306296;-1,2834396816819;3,17341853730851;-2,03485761646933;0,990203882200924;290,403821592727;678,124979008286;8;0,625;1,375;8,5;17,25;30;3420,375;7477,125
"268";"Renekton";"Champion";"mid";"Blue";-4,0281776701878;5,23255568380302;-6,49094162459367;-20,0318847098249;-59,6373261227824;-1954,71837942814;-4730,71258605603;1;2;5;5;118;187;4403;9401
"269";"Renekton";"Champion";"top";"Blue";-0,424931405230422;1,22852518794164;-0,530273883967715;24,7891937927042;14,079200301974;701,668379257648;582,263890470897;10;1,7;2,1;2,8;126,6;239,3;4948,1;10405,7
"270";"Renekton";"Champion";"top";"Red";1,56332549214925;-0,245494602686724;-0,0498770336000876;-1,510345804492;16,9022683916334;-79,8164471885047;298,023621127511;9;1,77777777777778;1,77777777777778;2,66666666666667;124,666666666667;232,111111111111;4997,55555555556;10230,1111111111
