"";"Player";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"42";"HLE Zeus";"top";23;2,95652173913043;2,34782608695652;3,43478260869565;119,086956521739;245,826086956522;5034,47826086957;11759,1739130435;"Blue"
"43";"KT Bdd";"mid";12;2,16666666666667;2;2,91666666666667;130,666666666667;255,083333333333;5185,25;10892,9166666667;"Blue"
"44";"KT Casting";"top";5;1,6;1,6;2,8;115,4;202;4617,2;9412;"Blue"
"45";"KT Cuzz";"jungle";12;1,83333333333333;1,91666666666667;3,41666666666667;106,333333333333;194,666666666667;4802,25;9429,41666666667;"Blue"
"46";"KT Paduck";"bottom";3;0,333333333333333;2;1,66666666666667;122;248;4629,66666666667;9779,66666666667;"Blue"
"47";"KT PerfecT";"top";7;1,28571428571429;1,42857142857143;3,57142857142857;119,714285714286;226;4678,71428571429;9753;"Blue"
"48";"KT Peter";"support";7;0,285714285714286;3;5,71428571428571;20,7142857142857;29,5714285714286;3312;6392,85714285714;"Blue"
"49";"KT Way";"support";5;0,8;2,4;6,4;17,8;25,4;3451;6331,8;"Blue"
"50";"KT deokdam";"bottom";9;2;2;3,22222222222222;124,555555555556;249,777777777778;4961,22222222222;10548,1111111111;"Blue"
"51";"NS Calix";"mid";5;2,4;2;2,6;135,8;251,2;5084,2;11656,2;"Blue"
"52";"NS Fisher";"mid";15;1,66666666666667;2,33333333333333;3,53333333333333;129,533333333333;265,266666666667;4888,4;11333,2;"Blue"
"53";"NS GIDEON";"jungle";20;1,65;1,75;4,85;103,05;194,1;4691,05;10183,5;"Blue"
"54";"NS Jiwoo";"bottom";20;2,8;1,65;3,1;128,65;273,65;4975,35;12090,2;"Blue"
"55";"NS Kingen";"top";20;1,75;1,55;3,45;116,1;249,3;4765,4;11435,15;"Blue"
"56";"NS Lehends";"support";20;0,8;3;5,65;23,7;35,1;3297,15;6971,85;"Blue"
"57";"T1 Doran";"top";22;1,81818181818182;2,40909090909091;3;114,409090909091;242;4703;10873,6818181818;"Blue"
"58";"T1 Faker";"mid";22;1,5;1,90909090909091;3,31818181818182;129,227272727273;253,954545454545;4905,40909090909;10620,6363636364;"Blue"
"59";"T1 Gumayusi";"bottom";12;2,75;1,75;3,33333333333333;133,333333333333;279,416666666667;5403,5;11914,3333333333;"Blue"
"60";"T1 Keria";"support";22;0,727272727272727;2,40909090909091;5,86363636363636;20,7272727272727;32,9090909090909;3418,59090909091;6797,22727272727;"Blue"
"61";"T1 Oner";"jungle";22;2,63636363636364;2,04545454545455;4,18181818181818;105,090909090909;200,181818181818;4903,90909090909;10306,4090909091;"Blue"
"62";"T1 Smash";"bottom";10;2,3;2;3,7;120,1;275;5005,5;11769,4;"Blue"
"63";"BFX Clear";"top";15;2,06666666666667;1,73333333333333;3,33333333333333;120,333333333333;234,4;4852,73333333333;10983,6;"Red"
"64";"BFX Diable";"bottom";15;4,06666666666667;1,13333333333333;3,13333333333333;126,066666666667;281,2;5282,2;12726,3333333333;"Red"
"65";"BFX Kellin";"support";15;0,733333333333333;2,53333333333333;6,53333333333333;16,1333333333333;27,2;3239,4;6811,4;"Red"
"66";"BFX Raptor";"jungle";15;1,66666666666667;2,33333333333333;5,2;94,3333333333333;173,933333333333;4625,53333333333;9563,13333333333;"Red"
"67";"BFX VicLa";"mid";15;1,86666666666667;1,8;4,86666666666667;129,133333333333;253,133333333333;5054,8;11068,6666666667;"Red"
"68";"BRO Bull";"bottom";3;2;0,666666666666667;4;133;296,333333333333;5115,33333333333;12603;"Red"
"69";"BRO Clozer";"mid";19;2,05263157894737;1,26315789473684;4,31578947368421;136,578947368421;274,210526315789;5284,57894736842;11576,4210526316;"Red"
"70";"BRO Croco";"jungle";1;10;0;1;117;198;5415;11389;"Red"
"71";"BRO Ellim";"jungle";2;3,5;2,5;3,5;94,5;185,5;4869,5;10599,5;"Red"
"72";"BRO HamBak";"jungle";16;1,3125;2,4375;5,375;104,4375;192,625;4810,75;9744,375;"Red"
"73";"BRO Hype ";"bottom";16;2,9375;1,5;3,4375;130,875;274,4375;5290,125;11715;"Red"
"74";"BRO Morgan";"top";19;1,89473684210526;1,52631578947368;2,47368421052632;120,526315789474;243,263157894737;4729,42105263158;10615,7368421053;"Red"
"75";"BRO Pollu";"support";19;0,368421052631579;2,68421052631579;6,73684210526316;19,5789473684211;28,5263157894737;3274,36842105263;6535,36842105263;"Red"
"76";"DK Aiming";"bottom";20;3,7;0,8;4,3;132,6;261,15;5224,6;11833,05;"Red"
"77";"DK BeryL";"support";20;0,7;1,8;7,35;23,6;35,95;3302,7;6692,1;"Red"
"78";"DK Lucid";"jungle";20;2,4;1,1;6,25;106,35;191,3;4942,5;9918,1;"Red"
"79";"DK ShowMaker";"mid";20;2,85;1,45;4,65;132,25;234,25;5096,8;10754,05;"Red"
"80";"DK Siwoo";"top";20;1,7;1,55;4,4;113,7;224,85;4617,4;10192,75;"Red"
"81";"DNF Berserker";"bottom";21;2,61904761904762;1,28571428571429;3,23809523809524;134,190476190476;295,047619047619;5187,42857142857;12548,1904761905;"Red"
"82";"DNF BuLLDoG";"mid";15;1,4;1,86666666666667;4,66666666666667;133,533333333333;269,4;5061,6;11518,1333333333;"Red"
"83";"DNF DDoiV";"jungle";2;4,5;2,5;2,5;101,5;197;5648;10622;"Red"
"84";"DNF DuDu";"top";21;2,0952380952381;1,85714285714286;3,28571428571429;117,47619047619;251,285714285714;4815;11438,1428571429;"Red"
