Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa;Liga
Union de Touarga;0;0;CODM Meknes;Botola
FAR Rabat;1;0;FUS Rabat;Botola
RS Berkane;0;1;FUS Rabat;Botola
RCA Raja Casablanca Athletic;2;0;Renaissance Club Zemamra;Botola
CODM Meknes;2;0;Maghreb Fès;Botola
SC Chabab Mohammédia;0;0;Jeunesse Sportive Soualem;Botola
Union de Touarga;1;0;Moghreb Tétouan;Botola
Difaâ El Jadida;1;0;FAR Rabat;Botola
RS Berkane;0;0;Ittihad Tanger;Botola
RCA Raja Casablanca Athletic;1;0;FUS Rabat;Botola
FUS Rabat;0;0;Ittihad Tanger;Botola
Jeunesse Sportive Soualem;0;0;Union de Touarga;Botola
Renaissance Club Zemamra;3;0;SC Chabab Mohammédia;Botola
Maghreb Fès;1;0;Hassania Agadir;Botola
FAR Rabat;4;0;CODM Meknes;Botola
Olympic Club de Safi;0;2;RS Berkane;Botola
CODM Meknes;0;2;Jeunesse Sportive Soualem;Botola
Hassania Agadir;0;1;Renaissance Club Zemamra;Botola
FUS Rabat;4;0;SC Chabab Mohammédia;Botola
Jeunesse Sportive Soualem;0;1;Hassania Agadir;Botola
Wydad Casablanca;1;0;Moghreb Tétouan;Botola
RCA Raja Casablanca Athletic;0;1;RS Berkane;Botola
Hassania Agadir;0;1;Ittihad Tanger;Botola
Moghreb Tétouan;0;0;Olympic Club de Safi;Botola
SC Chabab Mohammédia;0;5;FAR Rabat;Botola
Maghreb Fès;1;0;Wydad Casablanca;Botola
