Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa;Liga
LA Galaxy;4;3;San Jose Earthquakes;MLS
Austin FC;2;0;LA Galaxy;MLS
New York Red Bulls;1;1;Vancouver Whitecaps FC;MLS
New York City FC;2;1;Charlotte FC;MLS
New England Revolution;1;4;Inter Miami CF;MLS
Columbus Crew;0;0;CF Montréal;MLS
Philadelphia Union;1;2;Real Salt Lake;MLS
Orlando City SC;1;2;Toronto FC;MLS
D.C. United;2;1;Seattle Sounders FC;MLS
FC Cincinnati;2;1;Colorado Rapids;MLS
Minnesota United FC;2;1;Sporting Kansas City;MLS
Nashville SC;1;1;San Jose Earthquakes;MLS
Chicago Fire FC;0;0;Atlanta United FC;MLS
FC Dallas;2;0;Houston Dynamo FC;MLS
LAFC;3;2;Portland Timbers;MLS
Philadelphia Union;2;3;Seattle Sounders FC;MLS
D.C. United;2;2;Philadelphia Union;MLS
Toronto FC;3;1;FC Dallas;MLS
Atlanta United FC;1;2;Minnesota United FC;MLS
Orlando City SC;0;1;FC Cincinnati;MLS
Charlotte FC;2;0;Portland Timbers;MLS
Inter Miami CF;6;2;New York Red Bulls;MLS
San Jose Earthquakes;3;1;LAFC;MLS
Nashville SC;4;1;CF Montréal;MLS
Houston Dynamo FC;0;0;St. Louis CITY SC;MLS
Chicago Fire FC;0;1;New England Revolution;MLS
Real Salt Lake;1;0;Sporting Kansas City;MLS
Vancouver Whitecaps FC;0;0;Austin FC;MLS
New York City FC;0;2;Colorado Rapids;MLS
Seattle Sounders FC;0;0;LA Galaxy;MLS
New York Red Bulls;4;2;New England Revolution;MLS
Charlotte FC;1;0;Nashville SC;MLS
Toronto FC;2;3;New York City FC;MLS
Philadelphia Union;2;3;Orlando City SC;MLS
Atlanta United FC;2;3;D.C. United;MLS
CF Montréal;2;3;Inter Miami CF;MLS
Columbus Crew;1;2;FC Cincinnati;MLS
St. Louis CITY SC;3;1;Chicago Fire FC;MLS
Sporting Kansas City;1;2;Houston Dynamo FC;MLS
FC Dallas;2;1;Austin FC;MLS
Colorado Rapids;2;3;San Jose Earthquakes;MLS
LA Galaxy;2;2;Real Salt Lake;MLS
LAFC;3;0;Vancouver Whitecaps FC;MLS
Portland Timbers;1;2;Seattle Sounders FC;MLS
Philadelphia Union;1;2;New York City FC;MLS
FC Cincinnati;1;0;Atlanta United FC;MLS
D.C. United;1;4;New York Red Bulls;MLS
CF Montréal;1;3;Columbus Crew;MLS
Orlando City SC;0;0;Inter Miami CF;MLS
St. Louis CITY SC;0;2;LAFC;MLS
Chicago Fire FC;0;1;Charlotte FC;MLS
Austin FC;1;0;Houston Dynamo FC;MLS
Minnesota United FC;2;2;LA Galaxy;MLS
Nashville SC;2;0;Toronto FC;MLS
Colorado Rapids;1;0;Vancouver Whitecaps FC;MLS
Real Salt Lake;2;0;Seattle Sounders FC;MLS
Portland Timbers;4;2;San Jose Earthquakes;MLS
Nashville SC;1;1;Atlanta United FC;MLS
New England Revolution;0;3;Philadelphia Union;MLS
FC Cincinnati;3;1;St. Louis CITY SC;MLS
Toronto FC;5;1;CF Montréal;MLS
Charlotte FC;0;0;LA Galaxy;MLS
New York City FC;2;1;New York Red Bulls;MLS
Inter Miami CF;1;0;D.C. United;MLS
Minnesota United FC;2;1;Portland Timbers;MLS
Houston Dynamo FC;1;1;FC Dallas;MLS
Chicago Fire FC;1;3;Columbus Crew;MLS
Austin FC;3;2;Sporting Kansas City;MLS
Real Salt Lake;5;3;Colorado Rapids;MLS
Seattle Sounders FC;1;1;Vancouver Whitecaps FC;MLS
San Jose Earthquakes;0;1;Orlando City SC;MLS
Atlanta United FC;0;1;LAFC;MLS
CF Montréal;0;0;Nashville SC;MLS
New England Revolution;0;1;New York City FC;MLS
Toronto FC;3;4;FC Cincinnati;MLS
Charlotte FC;0;0;Philadelphia Union;MLS
D.C. United;1;1;Chicago Fire FC;MLS
Orlando City SC;0;2;Columbus Crew;MLS
FC Dallas;3;3;Real Salt Lake;MLS
St. Louis CITY SC;1;2;Seattle Sounders FC;MLS
Colorado Rapids;3;3;Minnesota United FC;MLS
Portland Timbers;2;1;Sporting Kansas City;MLS
Vancouver Whitecaps FC;1;2;Inter Miami CF;MLS
San Jose Earthquakes;1;1;Austin FC;MLS
LA Galaxy;2;1;Houston Dynamo FC;MLS
CF Montréal;4;2;D.C. United;MLS
Inter Miami CF;1;3;Atlanta United FC;MLS
New York Red Bulls;3;1;Charlotte FC;MLS
FC Cincinnati;0;2;Nashville SC;MLS
Philadelphia Union;0;0;Toronto FC;MLS
Sporting Kansas City;1;2;Vancouver Whitecaps FC;MLS
Houston Dynamo FC;3;1;Colorado Rapids;MLS
Austin FC;0;2;Portland Timbers;MLS
Chicago Fire FC;1;1;Orlando City SC;MLS
LA Galaxy;3;1;FC Dallas;MLS
Seattle Sounders FC;1;1;Real Salt Lake;MLS
LAFC;2;0;Minnesota United FC;MLS
New York City FC;5;1;San Jose Earthquakes;MLS
D.C. United;2;2;Toronto FC;MLS
New York Red Bulls;1;0;Orlando City SC;MLS
Philadelphia Union;2;2;CF Montréal;MLS
Inter Miami CF;3;3;St. Louis CITY SC;MLS
Nashville SC;1;2;New England Revolution;MLS
Chicago Fire FC;2;1;LA Galaxy;MLS
Minnesota United FC;3;1;Sporting Kansas City;MLS
Real Salt Lake;5;1;Austin FC;MLS
Portland Timbers;2;2;Houston Dynamo FC;MLS
LAFC;1;0;FC Dallas;MLS
Vancouver Whitecaps FC;2;1;Colorado Rapids;MLS
Atlanta United FC;2;3;Charlotte FC;MLS
New England Revolution;1;0;New York Red Bulls;MLS
Minnesota United FC;1;1;FC Dallas;MLS
St. Louis CITY SC;0;0;Portland Timbers;MLS
Sporting Kansas City;2;1;Seattle Sounders FC;MLS
New York City FC;2;3;Columbus Crew;MLS
CF Montréal;0;0;Real Salt Lake;MLS
Charlotte FC;1;0;D.C. United;MLS
Philadelphia Union;1;2;Inter Miami CF;MLS
New England Revolution;3;2;Vancouver Whitecaps FC;MLS
Toronto FC;1;4;Chicago Fire FC;MLS
New York Red Bulls;0;0;Nashville SC;MLS
Atlanta United FC;2;2;Houston Dynamo FC;MLS
Orlando City SC;1;3;LAFC;MLS
FC Dallas;2;0;St. Louis CITY SC;MLS
Colorado Rapids;2;0;Austin FC;MLS
San Jose Earthquakes;2;4;FC Cincinnati;MLS
LA Galaxy;4;2;Sporting Kansas City;MLS
Seattle Sounders FC;2;0;Minnesota United FC;MLS
Inter Miami CF;2;1;Columbus Crew;MLS
CF Montréal;2;2;New York Red Bulls;MLS
D.C. United;0;1;Atlanta United FC;MLS
Toronto FC;1;2;Nashville SC;MLS
Charlotte FC;2;2;Orlando City SC;MLS
FC Cincinnati;4;3;Philadelphia Union;MLS
Houston Dynamo FC;2;2;Seattle Sounders FC;MLS
FC Dallas;5;3;Minnesota United FC;MLS
St. Louis CITY SC;0;3;Colorado Rapids;MLS
Austin FC;1;1;LAFC;MLS
Sporting Kansas City;3;4;Real Salt Lake;MLS
San Jose Earthquakes;1;2;Portland Timbers;MLS
LA Galaxy;2;0;New York City FC;MLS
FC Cincinnati;1;2;New England Revolution;MLS
Columbus Crew;4;0;Sporting Kansas City;MLS
Orlando City SC;4;2;Chicago Fire FC;MLS
New York Red Bulls;3;0;Toronto FC;MLS
D.C. United;1;4;Houston Dynamo FC;MLS
Philadelphia Union;0;2;Charlotte FC;MLS
St. Louis CITY SC;1;1;Atlanta United FC;MLS
Minnesota United FC;0;1;Austin FC;MLS
Nashville SC;1;0;New York City FC;MLS
Real Salt Lake;0;1;LA Galaxy;MLS
Colorado Rapids;4;1;CF Montréal;MLS
LAFC;6;2;San Jose Earthquakes;MLS
Portland Timbers;2;0;Vancouver Whitecaps FC;MLS
Seattle Sounders FC;3;2;FC Dallas;MLS
New York City FC;4;2;Orlando City SC;MLS
New England Revolution;1;5;Columbus Crew;MLS
Atlanta United FC;2;1;Toronto FC;MLS
New York Red Bulls;2;2;D.C. United;MLS
CF Montréal;4;2;Philadelphia Union;MLS
Houston Dynamo FC;1;0;Charlotte FC;MLS
Sporting Kansas City;2;0;Austin FC;MLS
Nashville SC;1;2;Inter Miami CF;MLS
FC Dallas;0;1;FC Cincinnati;MLS
LAFC;3;0;Colorado Rapids;MLS
Seattle Sounders FC;2;1;Chicago Fire FC;MLS
Vancouver Whitecaps FC;4;3;St. Louis CITY SC;MLS
Portland Timbers;3;2;Minnesota United FC;MLS
San Jose Earthquakes;0;3;LA Galaxy;MLS
Charlotte FC;1;2;Inter Miami CF;MLS
New York City FC;2;0;CF Montréal;MLS
D.C. United;2;3;FC Cincinnati;MLS
Toronto FC;1;2;Orlando City SC;MLS
New England Revolution;2;1;Atlanta United FC;MLS
Minnesota United FC;1;3;Vancouver Whitecaps FC;MLS
Chicago Fire FC;4;3;Philadelphia Union;MLS
St. Louis CITY SC;2;0;San Jose Earthquakes;MLS
Columbus Crew;2;0;Nashville SC;MLS
Real Salt Lake;3;2;Houston Dynamo FC;MLS
FC Dallas;3;2;Portland Timbers;MLS
Colorado Rapids;2;1;Sporting Kansas City;MLS
LA Galaxy;1;2;LAFC;MLS
CF Montréal;1;1;Vancouver Whitecaps FC;MLS
FC Cincinnati;6;1;Inter Miami CF;MLS
Columbus Crew;4;0;Toronto FC;MLS
Orlando City SC;5;0;D.C. United;MLS
Philadelphia Union;0;0;New York Red Bulls;MLS
Real Salt Lake;5;2;Atlanta United FC;MLS
Austin FC;2;1;New York City FC;MLS
Seattle Sounders FC;2;0;New England Revolution;MLS
San Jose Earthquakes;1;0;Chicago Fire FC;MLS
Sporting Kansas City;3;2;FC Dallas;MLS
Colorado Rapids;4;1;St. Louis CITY SC;MLS
Portland Timbers;4;1;Nashville SC;MLS
LA Galaxy;2;1;Minnesota United FC;MLS
FC Cincinnati;1;3;Charlotte FC;MLS
D.C. United;2;1;Nashville SC;MLS
CF Montréal;1;0;Atlanta United FC;MLS
Toronto FC;2;1;Philadelphia Union;MLS
New England Revolution;1;3;Orlando City SC;MLS
Chicago Fire FC;0;0;New York City FC;MLS
St. Louis CITY SC;1;4;Vancouver Whitecaps FC;MLS
FC Dallas;2;0;LA Galaxy;MLS
Austin FC;0;1;Seattle Sounders FC;MLS
Houston Dynamo FC;1;1;Minnesota United FC;MLS
Colorado Rapids;1;1;New York Red Bulls;MLS
Portland Timbers;3;0;Real Salt Lake;MLS
San Jose Earthquakes;1;2;Sporting Kansas City;MLS
LAFC;1;5;Columbus Crew;MLS
New York Red Bulls;2;2;CF Montréal;MLS
Philadelphia Union;5;1;New England Revolution;MLS
Columbus Crew;1;1;Charlotte FC;MLS
Atlanta United FC;2;2;New York City FC;MLS
FC Cincinnati;0;1;Chicago Fire FC;MLS
Inter Miami CF;3;1;Toronto FC;MLS
Minnesota United FC;2;3;D.C. United;MLS
FC Dallas;3;1;Austin FC;MLS
Nashville SC;0;3;Orlando City SC;MLS
San Jose Earthquakes;0;1;Houston Dynamo FC;MLS
Seattle Sounders FC;2;0;St. Louis CITY SC;MLS
Vancouver Whitecaps FC;2;1;Sporting Kansas City;MLS
LA Galaxy;3;2;Colorado Rapids;MLS
LAFC;1;1;Real Salt Lake;MLS
Atlanta United FC;2;1;Columbus Crew;MLS
CF Montréal;0;1;Toronto FC;MLS
Orlando City SC;1;1;New York City FC;MLS
New England Revolution;1;1;FC Dallas;MLS
Inter Miami CF;2;1;Chicago Fire FC;MLS
New York Red Bulls;3;1;FC Cincinnati;MLS
Philadelphia Union;3;0;Nashville SC;MLS
Sporting Kansas City;1;1;St. Louis CITY SC;MLS
Minnesota United FC;2;0;San Jose Earthquakes;MLS
Austin FC;2;2;Charlotte FC;MLS
Colorado Rapids;3;2;Real Salt Lake;MLS
Seattle Sounders FC;0;3;LAFC;MLS
Vancouver Whitecaps FC;3;4;Houston Dynamo FC;MLS
LA Galaxy;3;2;Portland Timbers;MLS
Minnesota United FC;2;3;Seattle Sounders FC;MLS
CF Montréal;0;5;New England Revolution;MLS
Charlotte FC;1;1;New York Red Bulls;MLS
New York City FC;2;2;Chicago Fire FC;MLS
Inter Miami CF;2;0;FC Cincinnati;MLS
D.C. United;3;4;FC Dallas;MLS
Nashville SC;0;2;Austin FC;MLS
Sporting Kansas City;3;0;Orlando City SC;MLS
Houston Dynamo FC;0;1;Toronto FC;MLS
Real Salt Lake;0;2;San Jose Earthquakes;MLS
LA Galaxy;2;0;Atlanta United FC;MLS
Portland Timbers;4;4;St. Louis CITY SC;MLS
Philadelphia Union;0;1;Columbus Crew;MLS
New York Red Bulls;0;2;Philadelphia Union;MLS
Columbus Crew;4;2;New York City FC;MLS
Toronto FC;1;3;D.C. United;MLS
Orlando City SC;3;0;Nashville SC;MLS
Charlotte FC;0;1;Atlanta United FC;MLS
FC Cincinnati;4;1;CF Montréal;MLS
Chicago Fire FC;1;4;Inter Miami CF;MLS
Austin FC;0;1;Vancouver Whitecaps FC;MLS
FC Dallas;2;3;Colorado Rapids;MLS
Real Salt Lake;2;0;New England Revolution;MLS
Portland Timbers;1;0;Seattle Sounders FC;MLS
San Jose Earthquakes;1;2;Minnesota United FC;MLS
LAFC;0;2;Houston Dynamo FC;MLS
St. Louis CITY SC;2;1;LA Galaxy;MLS
New England Revolution;2;2;St. Louis CITY SC;MLS
New York Red Bulls;1;1;Sporting Kansas City;MLS
Columbus Crew;0;4;Seattle Sounders FC;MLS
Houston Dynamo FC;0;0;LAFC;MLS
Chicago Fire FC;1;2;D.C. United;MLS
Vancouver Whitecaps FC;0;0;FC Dallas;MLS
D.C. United;1;1;New York City FC;MLS
CF Montréal;2;1;Charlotte FC;MLS
Atlanta United FC;0;2;Nashville SC;MLS
FC Cincinnati;0;0;Columbus Crew;MLS
Toronto FC;2;1;Austin FC;MLS
Orlando City SC;3;0;New England Revolution;MLS
Inter Miami CF;3;1;Philadelphia Union;MLS
St. Louis CITY SC;1;3;Minnesota United FC;MLS
Chicago Fire FC;2;1;New York Red Bulls;MLS
Houston Dynamo FC;4;1;Real Salt Lake;MLS
Colorado Rapids;2;1;Portland Timbers;MLS
LA Galaxy;4;2;LAFC;MLS
Vancouver Whitecaps FC;2;0;San Jose Earthquakes;MLS
Seattle Sounders FC;2;0;Sporting Kansas City;MLS
New York City FC;1;5;Philadelphia Union;MLS
Toronto FC;0;2;Columbus Crew;MLS
Atlanta United FC;2;2;Inter Miami CF;MLS
New England Revolution;2;2;CF Montréal;MLS
Orlando City SC;2;0;Charlotte FC;MLS
Minnesota United FC;1;2;FC Cincinnati;MLS
Sporting Kansas City;4;1;Colorado Rapids;MLS
Nashville SC;1;0;Chicago Fire FC;MLS
Houston Dynamo FC;1;1;Vancouver Whitecaps FC;MLS
Real Salt Lake;3;2;FC Dallas;MLS
LAFC;1;1;Austin FC;MLS
Seattle Sounders FC;2;2;San Jose Earthquakes;MLS
Portland Timbers;4;2;LA Galaxy;MLS
New York City FC;1;1;Inter Miami CF;MLS
Charlotte FC;4;0;New England Revolution;MLS
Columbus Crew;4;3;Orlando City SC;MLS
CF Montréal;2;0;Chicago Fire FC;MLS
New York Red Bulls;2;2;Atlanta United FC;MLS
Sporting Kansas City;0;2;Minnesota United FC;MLS
FC Dallas;3;1;LAFC;MLS
Nashville SC;2;2;FC Cincinnati;MLS
Austin FC;0;1;Houston Dynamo FC;MLS
Colorado Rapids;2;0;Toronto FC;MLS
Real Salt Lake;3;3;Portland Timbers;MLS
LA Galaxy;4;2;Vancouver Whitecaps FC;MLS
San Jose Earthquakes;1;2;St. Louis CITY SC;MLS
Philadelphia Union;4;0;D.C. United;MLS
New England Revolution;1;0;Nashville SC;MLS
FC Cincinnati;1;2;LAFC;MLS
Inter Miami CF;1;1;Charlotte FC;MLS
Philadelphia Union;1;1;Atlanta United FC;MLS
CF Montréal;3;0;San Jose Earthquakes;MLS
New York Red Bulls;1;5;New York City FC;MLS
D.C. United;2;2;Columbus Crew;MLS
FC Dallas;1;3;Orlando City SC;MLS
St. Louis CITY SC;3;1;Sporting Kansas City;MLS
Minnesota United FC;3;0;Colorado Rapids;MLS
Austin FC;2;2;Real Salt Lake;MLS
Chicago Fire FC;1;1;Toronto FC;MLS
Seattle Sounders FC;1;0;Houston Dynamo FC;MLS
Vancouver Whitecaps FC;1;1;Portland Timbers;MLS
Toronto FC;1;4;New York Red Bulls;MLS
New York City FC;3;2;FC Cincinnati;MLS
Orlando City SC;2;1;Philadelphia Union;MLS
Charlotte FC;4;3;Chicago Fire FC;MLS
Atlanta United FC;1;2;CF Montréal;MLS
Columbus Crew;2;3;Inter Miami CF;MLS
Nashville SC;3;4;D.C. United;MLS
Houston Dynamo FC;2;1;New England Revolution;MLS
Real Salt Lake;0;0;Minnesota United FC;MLS
Colorado Rapids;1;3;LA Galaxy;MLS
LAFC;1;0;St. Louis CITY SC;MLS
Portland Timbers;0;1;Austin FC;MLS
Vancouver Whitecaps FC;0;3;Seattle Sounders FC;MLS
San Jose Earthquakes;3;2;FC Dallas;MLS
Toronto FC;0;1;Inter Miami CF;MLS
