"Jogo";"Gols_esperados_casa";"Gols_esperados_fora";"Prob_vitoria_casa";"Prob_vitoria_fora";"Placar_mais_provavel"
"Palmeiras vs Botafogo";1,22441700898564;1,22941348546203;0,498516525758094;0,500910340577136;"1 x 1"
"Benfica vs Chelsea";0,756730059843164;2,02248287411721;0,230083664526582;0,76509140412947;"0 x 2"
"Inter Milan vs Fluminense";1,73937155180422;0,815397748683032;0,708182124177161;0,289666050436917;"1 x 0"
"Manchester City vs Al-Hilal";2,33613434978639;0,59205709393152;0,834437428328854;0,155430898724124;"2 x 0"
"Paris Sg vs Inter Miami Cf";1,76621626439775;0,9417405191886;0,682168734564259;0,315458033212097;"1 x 0"
"Flamengo vs Bayern Munich";0,969658925061454;1,92273758920023;0,294430558200571;0,701826960984645;"0 x 1"
"Real Madrid vs Juventus";1,22466440835521;1,24793607833684;0,494144174261475;0,505255429663517;"1 x 1"
"Borussia Dortmund vs Monterrey";1,6914496922805;0,859744640509043;0,688908074392713;0,309236089580553;"1 x 0"
